Chinese name,scientific name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,scientific name,Genus name,woodiness
ÁùµÀÄ¾,Abelia biflora,5,6,8,9,Caprifoliaceae,Abelia biflora,Abelia,WD
Å´Ã×Ìõ,Abelia chinensis,7,9,10,11,Caprifoliaceae,Abelia chinensis,Abelia,WD
ÄÏ·½ÁùµÀÄ¾,Abelia dielsii,5,6,8,9,Caprifoliaceae,Abelia dielsii,Abelia,WD
ÌúÜÈ²Ë,Acalypha australis,4,12,4,12,Euphorbiaceae,Acalypha australis,Acalypha,CB
ÌúÜÈ²Ë,Acalypha supera,5,12,5,12,Euphorbiaceae,Acalypha australis,Acalypha,CB
ÒìÖêÎå¼Ó,Acanthopanax sieboldianus,NA,NA,NA,NA,Araliaceae,Acanthopanax sieboldianus,Acanthopanax,WD
Èñ½Ç·ã,Acer acutum,NA,NA,NA,NA,Aceraceae,Acer acutum,Acer,WD
À«Ò¶éÊ,Acer amplum,4,4,9,9,Aceraceae,Acer amplum,Acer,WD
Èı½ÇéÊ,Acer buergerianum,4,4,8,8,Aceraceae,Acer buergerianum,Acer,WD
Ğ¡Ò¶ÇàÆ¤·ã,Acer cappadocicum var. sinicum,NA,NA,9,9,Aceraceae,Acer cappadocicum var. sinicum,Acer,WD
×Ï¹ûéÊ,Acer cordatum,4,4,9,9,Aceraceae,Acer cordatum,Acer,WD
ÕÁÒ¶·ã,Acer coriaceifolium,3,3,8,8,Aceraceae,NA,NA,WD
ÇàÕ¥éÊ,Acer davidii,4,4,9,9,Aceraceae,Acer davidii,Acer,WD
¸ğÂÜéÊ,Acer davidii subsp. grosseri,4,4,9,9,Aceraceae,Acer davidii subsp. grosseri,Acer,WD
ÖĞ»ªÖØ³İ·ã,Acer duplicatoserratum var. chinense,NA,NA,NA,NA,Aceraceae,Acer duplicatoserratum var. chinense,Acer,WD
ĞãÀöéÊ,Acer elegantulum,5,5,9,9,Aceraceae,Acer elegantulum,Acer,WD
²èÌõ·ã,Acer ginnala,5,5,9,9,Aceraceae,Acer tataricum subsp. ginnala,Acer,WD
