scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,genus name,woodinese
Abarema lucida,ÁÁÒ¶ºï¶ú»·,NA,NA,NA,NA,Fabaceae,Abarema,WD
Abarema utile,±¡Ò¶Î§ÏÑÊ÷,NA,NA,NA,NA,Fabaceae,Abarema,WD
Abelia chinensis,Å´Ã×Ìõ,6,7,8,10,Caprifoliaceae,Abelia,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Caprifoliaceae,Abelia,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,Caprifoliaceae,Abelia,WD
Abelmoschus manihot,»ÆÊñ¿û,8,12,8,12,Malvaceae,Abelmoschus,CB
Abrus mollis,Ã«ÏàË¼×Ó,9,11,9,11,Fabaceae,Abrus,WD
Abrus precatorius,ÏàË¼×Ó,8,11,8,11,Fabaceae,Abrus,WD
Abutilon indicum,Ä¥ÅÌ²İ,1,12,1,12,Malvaceae,Abutilon,CB
Acacia pennata,ÓğÒ¶½ğºÏ»¶,3,10,7,4,Fabaceae,Acacia,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,3,11,3,11,Fabaceae,Acacia,WD
Acalypha australis,ÌúÜÈ²Ë,4,12,4,12,Euphorbiaceae,Acalypha,CB
Acanthephippium striatum,×¶ÄÒÌ³»¨À¼,4,6,NA,NA,Orchidaceae,Acanthephippium,CB
Acanthus ilicifolius,ÀÏÊóº{,5,6,6,7,Acanthaceae,Acanthus,WD
Acer amplum,À«Ò¶éÊ,4,5,8,9,Aceraceae,Acer,WD
Acer amplum subsp. tientaiense,ÌìÌ¨À«Ò¶·ã,4,4,9,9,Aceraceae,Acer,WD
Acer buergerianum,Èı½ÇéÊ,4,4,7,8,Aceraceae,Acer,WD
Acer chunii,ÈéÔ´·ã,4,4,9,9,Aceraceae,Acer,WD
Acer confertifolium,ÃÜÒ¶éÊ,NA,NA,10,10,Aceraceae,Acer,WD
Acer cordatum,×Ï¹ûéÊ,4,5,8,9,Aceraceae,Acer,WD
Acer cordatum var. dimorphifolium,Á½ĞÍÒ¶×Ï¹û·ã,NA,NA,NA,NA,Aceraceae,Acer,WD
Acer coriaceifolium,ÕÁÒ¶·ã,3,3,8,8,Aceraceae,NA,NA
Acer davidii,ÇàÕ¥éÊ,4,5,5,11,Aceraceae,Acer,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer duplicatoserratum var. chinense,ÖĞ»ªÖØ³İ·ã,5,5,9,9,Aceraceae,Acer,WD
Acer elegantulum,ĞãÀöéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer fabri,ÂŞ¸¡éÊ,3,4,9,9,Aceraceae,Acer,WD
Acer henryi,½¨Ê¼éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer linganense,ÁÙ°²éÊ,4,5,7,8,Aceraceae,Acer,WD
Acer lucidum,ÁÁÒ¶éÊ,3,4,8,9,Amorphophallus,Acer,WD
Acer oblongum,·É¶êéÊ,4,5,8,9,Aceraceae,Acer,WD
Acer oliverianum,ÎåÁÑéÊ,4,5,7,8,Aceraceae,Acer,WD
Acer pauciflorum,Ï¡»¨éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer pubinerve,Ã«ÂöéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer sinense,ÖĞ»ªéÊ,5,5,8,8,Aceraceae,Acer,WD
Acer sino-oblongum,±õº£éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer tutcheri,ÁëÄÏéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer wilsonii,ÈıÏ¿éÊ,4,4,9,9,Aceraceae,Acer,WD
Achyranthes aspera,ÍÁÅ£Ï¥,8,9,8,9,Amaranthaceae,Achyranthes,CB
Achyranthes aspera var. rubrofusca,ºÌÒ¶ÍÁÅ£Ï¥,NA,NA,NA,NA,Amaranthaceae,Achyranthes,CB
Achyranthes bidentata,Å£Ï¥,8,11,9,11,Amaranthaceae,Achyranthes,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,5,9,5,9,Amaranthaceae,Achyranthes,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Lamiaceae,Achyrospermum,CB
Acidosasa chienouensis,·ÛËáÖñ,6,6,NA,NA,Poaceae,Acidosasa,WD
Acidosasa edulis,»ÆÌğÖñ,NA,NA,NA,NA,Poaceae,Acidosasa,WD
Acidosasa nanunica,³¤ÉàËáÀèÖñ,NA,NA,NA,NA,Poaceae,Acidosasa,WD
Acidosasa notata,°ßóêËáÖñ,4,5,NA,NA,Poaceae,Acidosasa,WD
Aconitum carmichaelii,ÎÚÍ·,9,10,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum finetianum,¸ÓÍîÎÚÍ·,8,9,10,10,Ranunculaceae,Aconitum,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Araceae,Acorus,CB
Acorus gramineus,½ğÇ®ÆÑ,2,7,7,8,Araceae,Acorus,CB
Acorus tatarinowii,Ê¯İÅÆÑ,NA,NA,NA,NA,Araceae,Acorus,CB
Acronychia pedunculata,É½ÓÍ¸Ì,5,5,10,10,Rutaceae,Acronychia,WD
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,6,7,9,10,Actinidiaceae,Actinidia,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,4,6,9,10,Actinidiaceae,Actinidia,WD
Actinidia callosa var. discolor,ÒìÉ«â¨ºïÌÒ,5,6,7,9,Actinidiaceae,Actinidia,WD
Actinidia callosa var. henryi,¾©Àæâ¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia chinensis,,5,6,9,10,Actinidiaceae,NA,NA
Actinidia eriantha,Ã«»¨â¨ºïÌÒ,5,6,11,11,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma,»ÆÃ«â¨ºïÌÒ,6,6,8,10,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. cinerascens,»ÒÃ«â¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. pachyphylla,ºñÒ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia hemsleyana,³¤Ò¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia indochinensis,ÖĞÔ½â¨ºïÌÒ,3,4,9,10,Actinidiaceae,Actinidia,WD
Actinidia lanceolata,Ğ¡Ò¶â¨ºïÌÒ,5,6,9,10,Actinidiaceae,Actinidia,WD
Actinidia latifolia,À«Ò¶â¨ºïÌÒ,6,7,8,9,Actinidiaceae,Actinidia,WD
Actinidia melanandra,ºÚÈïâ¨ºïÌÒ,6,7,8,9,Actinidiaceae,Actinidia,WD
Actinidia polygama,¸ğÔæâ¨ºïÌÒ,6,7,8,10,Actinidiaceae,Actinidia,WD
Actinidia sabiifolia,Çå·çÌÙâ¨ºïÌÒ,5,5,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia styracifolia,°²Ï¢Ïãâ¨ºïÌÒ,5,6,8,9,Actinidiaceae,Actinidia,WD
Actinidia valvata,¶Ôİàâ¨ºïÌÒ,5,6,8,9,Actinidiaceae,Actinidia,WD
Actinidia zhejiangensis,Õã½­â¨ºïÌÒ,5,5,10,10,Actinidiaceae,Actinidia,WD
Actinostemma tenerum,ºĞ×Ó²İ,6,8,9,10,Cucurbitaceae,Actinostemma,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,6,11,6,11,Asteraceae,Adenocaulon,CB
Adenophora pereskiifolia,³¤°×É³²Î,7,8,8,9,Campanulaceae,Adenophora,CB
Adenophora petiolata subsp. huadungensis,»ª¶«ĞÓÒ¶É³²Î,NA,NA,NA,NA,Campanulaceae,Adenophora,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,NA,NA,NA,NA,Campanulaceae,Adenophora,CB
Adenophora sinensis,ÖĞ»ªÉ³²Î,8,11,8,11,Campanulaceae,Adenophora,CB
Adenophora stricta,´¨Î÷É³²Î,8,10,NA,NA,Campanulaceae,Adenophora,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,7,11,7,11,Campanulaceae,Adenophora,CB
Adenosma glutinosum,Ã«÷êÏã,7,10,7,10,Scrophulariaceae,Adenosma,CB
Adenosma indianum,Çò»¨Ã«ÉäÏã,9,11,9,11,Scrophulariaceae,Adenosma,CB
Adenostemma lavenia,ÏÂÌï¾Õ,8,10,8,10,Asteraceae,Adenostemma,CB
Adenostemma lavenia var. latifolium,ÏÂÌï¾Õ¿íÒ¶±äÖÖ,NA,NA,NA,NA,Asteraceae,Adenostemma,CB
Adina pilulifera,Ë®ÍÅ»¨,6,7,9,10,Rubiaceae,Adina,WD
Adina rubella,Ï¸Ò¶Ë®ÍÅ»¨,6,8,9,10,Rubiaceae,Adina,WD
Adinandra bockiana,´¨ÑîÍ©,6,8,9,11,Theaceae,Adinandra,WD
Adinandra bockiana var. acutifolia,¼âİà´¨ÑîÍ©,6,8,9,11,Theaceae,Adinandra,WD
Adinandra glischroloma,Á½¹ãÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma var. jubata,³¤Ã«ÑîÍ©,5,6,9,10,Theaceae,Adinandra,WD
Adinandra glischroloma var. macrosepala,´óİàÑîÍ©,5,7,9,9,Theaceae,Adinandra,WD
Adinandra millettii,ÑîÍ©,5,7,8,10,Theaceae,Adinandra,WD
Aegiceras corniculatum,À¯Öò¹û,10,1,12,2,Myrsinaceae,Aegiceras,WD
Aeginetia indica,Ò°İÔ,4,8,8,10,Orobanchaceae,Aeginetia,CB
Aeginetia sinensis,ÖĞ¹úÒ°İÔ,4,6,6,8,Orobanchaceae,Aeginetia,CB
Aegopodium handelii,Ïæ¹ğÑò½ÇÇÛ,7,8,7,8,Apiaceae,Aegopodium,CB
Aeschynanthus acuminatus,Ã¢Ã«ÜÄÌ¦,10,12,12,5,Gesneriaceae,Aeschynanthus,WD
Agastache rugosa,Ş½Ïã,6,9,9,11,Lamiaceae,Agastache,CB
Aglaia odorata,Ã××ĞÀ¼,3,11,7,3,Meliaceae,Aglaia,WD
Agrimonia eupatoria,,NA,NA,NA,NA,Rosaceae,NA,NA
Agrimonia nipponica var. occidentalis,Ğ¡»¨ÁúÑ¿²İ,8,11,8,11,Rosaceae,Agrimonia,CB
Agrimonia pilosa,ÁúÑ¿²İ,4,12,5,12,Rosaceae,Agrimonia,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,NA,NA,NA,NA,Poaceae,Agrostis,CB
Agrostis infirma,ÓñÉ½¼ô¹ÉÓ±,NA,NA,11,11,Poaceae,Agrostis,CB
Agrostis micrantha,¶à»¨¼ô¹ÉÓ±,8,8,8,8,Poaceae,Agrostis,CB
Agrostis sozanensis,Ì¨Íå¼ô¹ÉÓ±,NA,NA,NA,NA,Poaceae,Agrostis,CB
Aidia canthioides,Ïãéª,5,8,9,11,Rubiaceae,Aidia,WD
Aidia cochinchinensis,ÜçÊ÷,4,5,8,11,Rubiaceae,Aidia,WD
Aidia pycnantha,¶àÃ«Üç²İÊ÷,3,9,4,12,Rubiaceae,Aidia,WD
Ailanthus altissima,³ô´»,4,5,8,10,Simaroubaceae,Ailanthus,WD
Ailanthus altissima var. sutchuenensis,´ó¹û³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ailanthus altissima var. tanakai,Ì¨Íå³ô´»,NA,NA,NA,NA,Simaroubaceae,Ailanthus,WD
Ailanthus triphysa,ÁëÄÏ³ô´»,10,11,1,3,Simaroubaceae,Ailanthus,WD
Ainsliaea fragrans,ĞÓÏãÍÃ¶ù·ç,7,12,7,12,Asteraceae,Ainsliaea,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,6,3,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea macroclinidioides,µÆÌ¨ÍÃ¶ù·ç,8,11,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea parvifolia,Ğ¡Ò¶ÍÃ¶ù·ç,10,10,NA,NA,Asteraceae,NA,NA
Ainsliaea plantaginifolia,³µÇ°ÍÃ¶ù·ç,9,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea trinervis,ÈıÂöÍÃ¶ù·ç,7,9,NA,NA,Asteraceae,Ainsliaea,CB
Ainsliaea walkeri,»ªÄÏÍÃ¶ù·ç,3,5,NA,NA,Asteraceae,Ainsliaea,CB
Ajuga ciliata,½î¹Ç²İ,4,8,7,9,Lamiaceae,Ajuga,CB
