sentific name,chinese name,first flowerin month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia biflora,ÁùµÀÄ¾,2,3,8,9,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,5,8,9,Abelia,Caprifoliaceae,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,5,6,8,9,NA,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,7,8,9,10,NA,Malvaceae,CB
Acalypha acmophylla,Î²Ò¶ÌúÜÈ²Ë,4,8,9,10,NA,Euphorbiaceae,WD
Acalypha mairei,Ã«Ò¶ÌúÜÈ²Ë,3,8,7,8,Acalypha,Euphorbiaceae,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,NA,Euphorbiaceae,CB
Acanthocalyx alba,°×»¨´ÌĞø¶Ï,6,8,7,9,NA,Morinaceae,NA
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer barbinerve,÷ÚÂöéÊ,4,4,8,9,Acer,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,5,5,9,10,NA,Aceraceae,WD
Acer buergerianum var. kaiscianense,½çÉ½Èı½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,5,5,9,9,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,5,6,7,9,Acer,Aceraceae,WD
Acer ceriferum,è¾Ò¶·ã,5,5,9,9,NA,Aceraceae,NA
Acer davidii,ÇàÕ¥éÊ,5,5,6,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer erianthum,Ã«»¨éÊ,5,6,9,9,Acer,Aceraceae,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,10,10,NA,Aceraceae,WD
Acer ginnala,,5,5,8,8,NA,Aceraceae,NA
