scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting name,family name,genus name,woodiness
Abarema clypearia,Î§ÏÑÊ÷,2,6,4,8,Fabaceae,Abarema,WD
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,Fabaceae,Abarema,WD
Abarema utile,±¡Ò¶Î§ÏÑÊ÷,3,8,4,12,Fabaceae,Abarema,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,Caprifoliaceae,Abelia,WD
Abelmoschus crinitus,³¤Ã«»Æ¿û,4,9,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus manihot,»ÆÊñ¿û,8,10,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus sagittifolius,¼ıÒ¶Çï¿û,5,9,NA,NA,Malvaceae,Abelmoschus,CB
Abrus cantoniensis,¹ã¶«ÏàË¼×Ó,8,8,NA,NA,Fabaceae,Abrus,WD
Abrus mollis,Ã«ÏàË¼×Ó,1,8,6,11,Fabaceae,Abrus,WD
Abrus precatorius,ÏàË¼×Ó,3,6,9,10,Fabaceae,Abrus,WD
Abrus pulchellus,ÃÀÀöÏàË¼×Ó,8,8,NA,NA,Fabaceae,Abrus,WD
Abutilon indicum,Ä¥ÅÌ²İ,6,12,NA,NA,Malvaceae,Abutilon,CB
Acacia caesia,¼âÒ¶ÏàË¼,9,9,NA,NA,Fabaceae,Acacia,WD
Acacia concinna,ÌÙ½ğºÏ»¶,4,6,7,12,Fabaceae,NA,NA
Acacia pennata,ÓğÒ¶½ğºÏ»¶,3,10,7,4,Fabaceae,Acacia,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,4,6,7,12,Fabaceae,Acacia,WD
Acacia vietnamensis,Ô½ÄÏ½ğºÏ»¶,3,7,6,12,Fabaceae,Acacia,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,Euphorbiaceae,Acalypha,CB
Acalypha wui,Ó¡ìøÌúÜÈ²Ë,4,12,6,12,Euphorbiaceae,Acalypha,WD
Acampe rigida,¶à»¨´àÀ¼,8,9,10,11,Orchidaceae,Acampe,CB
Acanthephippium sinense,ÖĞ»ªÌ³»¨À¼,4,5,NA,NA,Orchidaceae,Acanthephippium,CB
Acanthus ebracteatus,Ğ¡»¨ÀÏÊóº{,4,5,8,9,Acanthaceae,Acanthus,WD
Acanthus ilicifolius,ÀÏÊóº{,2,3,8,9,Acanthaceae,Acanthus,WD
Acer amplum,À«Ò¶éÊ,5,6,9,11,Aceraceae,Acer,WD
Acer amplum subsp. catalpifolium,ÕÁÒ¶éÊ,NA,NA,8,10,Aceraceae,Acer,WD
Acer buergerianum,Èı½ÇéÊ,3,5,8,9,Aceraceae,Acer,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer chingii,Ç­¹ğéÊ,4,4,8,8,Aceraceae,Acer,WD
Acer chunii,ÈéÔ´·ã,4,4,9,9,Aceraceae,Acer,WD
Acer confertifolium,ÃÜÒ¶éÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer cordatum,×Ï¹ûéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer cordatum var. dimorphifolium,Á½ĞÍÒ¶×Ï¹û·ã,NA,NA,9,9,Aceraceae,Acer,WD
Acer coriaceifolium,ÕÁÒ¶·ã,3,3,8,8,Aceraceae,NA,NA
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer elegantulum,ĞãÀöéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer fabri,ÂŞ¸¡éÊ,3,4,9,9,Aceraceae,Acer,WD
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,Aceraceae,Acer,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer lucidum,ÁÁÒ¶éÊ,3,5,8,9,Aceraceae,Acer,WD
Acer metcalfii,ÄÏÁëéÊ,NA,NA,8,9,Aceraceae,Acer,WD
Acer oblongum,·É¶êéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,Aceraceae,Acer,WD
Acer pubinerve,Ã«ÂöéÊ,4,4,9,11,Aceraceae,Acer,WD
Acer sinense,ÖĞ»ªéÊ,5,6,9,11,Aceraceae,Acer,WD
Acer sino-oblongum,±õº£éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer tutcheri,ÁëÄÏéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer wilsonii,ÈıÏ¿éÊ,5,6,8,9,Aceraceae,Acer,WD
Achyranthes aspera var. indica,¶ÛÒ¶ÍÁÅ£Ï¥,NA,NA,NA,NA,Amaranthaceae,Achyranthes,CB
Achyranthes bidentata,Å£Ï¥,6,12,9,10,Amaranthaceae,Achyranthes,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,9,12,NA,NA,Amaranthaceae,Achyranthes,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,11,11,12,12,Lamiaceae,Achyrospermum,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,12,12,Lamiaceae,Achyrospermum,CB
Acidosasa breviclavata,Ğ¡Ò¶ËáÖñ,NA,NA,NA,NA,Poaceae,Acidosasa,WD
Acidosasa chienouensis,·ÛËáÖñ,6,6,NA,NA,Poaceae,Acidosasa,WD
Acidosasa chinensis,ËáÖñ,10,10,NA,NA,Poaceae,Acidosasa,WD
Acidosasa nanunica,³¤ÉàËáÀèÖñ,NA,NA,NA,NA,Poaceae,Acidosasa,WD
Acidosasa notata,°ßóêËáÖñ,4,5,NA,NA,Poaceae,Acidosasa,WD
Acidosasa venusta,ÀèÖñ,11,11,NA,NA,Poaceae,Acidosasa,WD
Aconitum carmichaelii,ÎÚÍ·,9,10,NA,NA,Ranunculaceae,Aconitum,CB
Acorus calamus,İÅÆÑ,6,10,6,10,Araceae,Acorus,CB
Acorus gramineus,½ğÇ®ÆÑ,5,8,5,8,Araceae,Acorus,CB
Acorus tatarinowii,Ê¯İÅÆÑ,2,6,2,6,Araceae,Acorus,CB
Acrocephalus hispidus,¼âÍ·»¨,NA,NA,NA,NA,Lamiaceae,Acrocephalus,CB
Acrocephalus indicus,¼âÍ·»¨,9,10,11,11,Lamiaceae,NA,NA
Acroceras munroanum,·ïÍ·Êò,9,10,9,10,Poaceae,Acroceras,CB
Acroceras tonkinense,É½¼¦¹È²İ,8,10,8,10,Poaceae,Acroceras,CB
Acronychia oligophlebia,¹±¼×,NA,NA,NA,NA,Rutaceae,Acronychia,WD
Acronychia pedunculata,É½ÓÍ¸Ì,4,8,8,12,Rutaceae,Acronychia,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,5,6,7,9,Actinidiaceae,Actinidia,WD
Actinidia callosa var. discolor,ÒìÉ«â¨ºïÌÒ,5,6,7,9,Actinidiaceae,Actinidia,WD
Actinidia callosa var. henryi,¾©Àæâ¨ºïÌÒ,5,6,7,9,Actinidiaceae,Actinidia,WD
Actinidia chinensis,,4,6,9,10,Actinidiaceae,NA,NA
Actinidia chinensis var. deliciosa,ÃÀÎ¶â¨ºïÌÒ,4,6,9,10,Actinidiaceae,Actinidia,WD
Actinidia chrysantha,½ğ»¨â¨ºïÌÒ,5,5,11,11,Actinidiaceae,Actinidia,WD
Actinidia eriantha,Ã«»¨â¨ºïÌÒ,5,6,9,11,Actinidiaceae,Actinidia,WD
Actinidia fortunatii,ÌõÒ¶â¨ºïÌÒ,4,6,11,11,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma,»ÆÃ«â¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. cinerascens,»ÒÃ«â¨ºïÌÒ,5,5,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. hirsuta,²ÚÃ«â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia fulvicoma var. pachyphylla,ºñÒ¶â¨ºïÌÒ,NA,NA,NA,NA,Actinidiaceae,Actinidia,WD
Actinidia henryi,ÃÉ×Ôâ¨ºïÌÒ,5,6,10,10,Actinidiaceae,Actinidia,WD
Actinidia indochinensis,ÖĞÔ½â¨ºïÌÒ,3,4,9,10,Actinidiaceae,Actinidia,WD
Actinidia kolomikta,¹·Ôæâ¨ºïÌÒ,5,6,9,10,Actinidiaceae,Actinidia,WD
Actinidia lanceolata,Ğ¡Ò¶â¨ºïÌÒ,5,6,9,11,Actinidiaceae,Actinidia,WD
Actinidia latifolia,À«Ò¶â¨ºïÌÒ,5,6,11,11,Actinidiaceae,Actinidia,WD
