scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting name,family name,genus name,woodiness
Abarema clypearia,Î§ÏÑÊ÷,2,6,4,8,Fabaceae,Abarema,WD
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,Fabaceae,Abarema,WD
Abarema utile,±¡Ò¶Î§ÏÑÊ÷,NA,NA,NA,NA,Fabaceae,Abarema,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,Caprifoliaceae,Abelia,WD
Abelia macrotera,¶ş³áÅ´Ã×Ìõ,5,6,8,10,Linnaeaceae,NA,NA
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,Caprifoliaceae,Abelia,WD
Abelmoschus crinitus,³¤Ã«»Æ¿û,7,9,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus manihot,»ÆÊñ¿û,6,9,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus sagittifolius,¼ıÒ¶Çï¿û,7,12,NA,NA,Malvaceae,Abelmoschus,CB
Abrus cantoniensis,¹ã¶«ÏàË¼×Ó,7,8,10,11,Fabaceae,Abrus,WD
Abrus mollis,Ã«ÏàË¼×Ó,7,8,10,11,Fabaceae,Abrus,WD
Abrus precatorius,ÏàË¼×Ó,3,8,9,11,Fabaceae,Abrus,WD
Abutilon indicum,Ä¥ÅÌ²İ,5,10,NA,NA,Malvaceae,Abutilon,CB
Abutilon sinense,»ªÜÜÂé,2,5,NA,NA,Malvaceae,Abutilon,WD
Acacia caesia,¼âÒ¶ÏàË¼,9,9,11,11,Fabaceae,Acacia,WD
Acacia concinna,ÌÙ½ğºÏ»¶,4,6,7,12,Fabaceae,NA,NA
Acacia delavayi,¹âÒ¶½ğºÏ»¶,7,7,9,9,Fabaceae,Acacia,WD
Acacia megaladena,¶ÛÒ¶½ğºÏ»¶,5,6,9,10,Fabaceae,Acacia,WD
Acacia megaladena var. garrettii,ÅÌÏÙ½ğºÏ»¶,NA,NA,NA,NA,Fabaceae,Acacia,WD
Acacia pennata,ÓğÒ¶½ğºÏ»¶,3,10,1,4,Fabaceae,Acacia,WD
Acacia pruinescens,·Û±»½ğºÏ»¶,4,4,6,10,Fabaceae,Acacia,WD
Acacia pruinescens var. luchunensis,·Û±»½ğºÏ»¶,NA,NA,NA,NA,Fabaceae,Acacia,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,4,6,7,12,Fabaceae,Acacia,WD
Acacia vietnamensis,Ô½ÄÏ½ğºÏ»¶,3,7,6,12,Fabaceae,Acacia,WD
Acalypha acmophylla,Î²Ò¶ÌúÜÈ²Ë,4,8,NA,NA,Euphorbiaceae,Acalypha,WD
Acalypha australis,ÌúÜÈ²Ë,4,12,4,12,Euphorbiaceae,Acalypha,CB
Acalypha kerrii,ÂÑÒ¶ÌúÜÈ²Ë,3,8,NA,NA,Euphorbiaceae,Acalypha,WD
Acalypha mairei,Ã«Ò¶ÌúÜÈ²Ë,3,8,7,8,Euphorbiaceae,Acalypha,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,Euphorbiaceae,Acalypha,CB
Acalypha wui,Ó¡ìøÌúÜÈ²Ë,4,12,6,12,Euphorbiaceae,Acalypha,WD
Acampe rigida,¶à»¨´àÀ¼,8,9,10,11,Orchidaceae,Acampe,CB
Acanthephippium striatum,×¶ÄÒÌ³»¨À¼,4,6,NA,NA,Orchidaceae,Acanthephippium,CB
Acanthus ebracteatus,Ğ¡»¨ÀÏÊóº{,4,5,8,9,Acanthaceae,Acanthus,WD
Acanthus ilicifolius,ÀÏÊóº{,2,3,8,9,Acanthaceae,Acanthus,WD
Acer amplum,À«Ò¶éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer amplum subsp. bodinieri,½¨Ë®À«Ò¶·ã,3,4,10,10,Aceraceae,Acer,WD
Acer amplum subsp. tientaiense,ÌìÌ¨À«Ò¶·ã,4,4,9,9,Aceraceae,Acer,WD
Acer buergerianum,Èı½ÇéÊ,4,4,8,8,Aceraceae,Acer,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer chingii,Ç­¹ğéÊ,4,4,8,8,Aceraceae,Acer,WD
Acer cordatum,×Ï¹ûéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer coriaceifolium,ÕÁÒ¶·ã,4,5,8,9,Aceraceae,NA,NA
Acer crassum,ºñÒ¶éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer elegantulum,ĞãÀöéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer erianthum,Ã«»¨éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer fabri,ÂŞ¸¡éÊ,3,4,9,9,Aceraceae,Acer,WD
Acer fenzelianum,ºÓ¿ÚéÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,10,10,Aceraceae,Acer,WD
Acer forrestii,Àö½­éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer kwangnanense,¹ãÄÏéÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer kweilinense,¹ğÁÖéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,Aceraceae,Acer,WD
Acer laevigatum var. salweenense,Å­½­¹âÒ¶·ã,NA,NA,NA,NA,Aceraceae,Acer,WD
Acer laurinum,Ê®ÈïéÊ,6,9,9,12,Aceraceae,Acer,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer lucidum,ÁÁÒ¶éÊ,3.11,4.21,8,9,Aceraceae,Acer,WD
Acer lungshengense,ÁúÊ¤éÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer metcalfii,ÄÏÁëéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer miaoshanicum,ÃçÉ½éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer oblongum,·É¶êéÊ,4,5,9,9,Aceraceae,Acer,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer palmatum,¼¦×¦éÊ,4,5,9,9,Aceraceae,Acer,WD
Acer paxii,½ğÉ³éÊ,3,3,8,9,Aceraceae,Acer,WD
Acer pubinerve,Ã«ÂöéÊ,4,4,10,10,Aceraceae,Acer,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer sino-oblongum,±õº£éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer sterculiaceum subsp. franchetii,·¿ÏØéÊ,NA,NA,NA,NA,Aceraceae,Acer,WD
Acer sycopseoides,½ÇÒ¶éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer tonkinense,´Ö±úéÊ,4.21,5.1,9,9,Aceraceae,Acer,WD
Acer tutcheri,ÁëÄÏéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer wangchii,Ìì¶ëéÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer wilsonii,ÈıÏ¿éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer yinkunii,¶¼°²éÊ,NA,NA,9,9,Aceraceae,Acer,WD
Achillea wilsoniana,ÔÆÄÏİé,7,9,7,9,Asteraceae,Achillea,CB
Achyranthes aspera,ÍÁÅ£Ï¥,6,8,10,10,Amaranthaceae,Achyranthes,CB
Achyranthes aspera var. indica,¶ÛÒ¶ÍÁÅ£Ï¥,NA,NA,NA,NA,Amaranthaceae,Achyranthes,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Amaranthaceae,Achyranthes,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,9,11,9,11,Amaranthaceae,Achyranthes,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Lamiaceae,Achyrospermum,CB
Acidosasa lingchuanensis,Áé´¨ËáÖñ,NA,NA,NA,NA,Poaceae,Acidosasa,WD
Acidosasa notata,°ßóêËáÖñ,4,5,NA,NA,Poaceae,Acidosasa,WD
Acidosasa purpurea,Ã«»¨ËáÖñ,5,9,NA,NA,Poaceae,Acidosasa,WD
Acmella paniculata,½ğÅ¥¿Û,4,11,NA,NA,Asteraceae,NA,NA
Aconitum abietetorum,ÀäÉ¼ÁÖÎÚÍ·,9,9,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum carmichaelii,ÎÚÍ·,9,10,NA,NA,Ranunculaceae,Aconitum,CB
Aconitum sinomontanum var. angustius,ÏÁ¿ø¸ßÎÚÍ·,NA,NA,NA,NA,Ranunculaceae,Aconitum,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Araceae,Acorus,CB
