scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting name,family name,genus name,woodiness
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,Fabaceae,Abarema,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,Caprifoliaceae,Abelia,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Caprifoliaceae,Abelia,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,6,8,9,Caprifoliaceae,Abelia,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,Caprifoliaceae,Abelia,WD
Abelmoschus crinitus,³¤Ã«»Æ¿û,5,9,8,3,Malvaceae,Abelmoschus,CB
Abelmoschus manihot,»ÆÊñ¿û,8,10,9,11,Malvaceae,Abelmoschus,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,Malvaceae,Abelmoschus,CB
Abelmoschus sagittifolius,¼ıÒ¶Çï¿û,5,9,NA,NA,Malvaceae,Abelmoschus,CB
Abutilon indicum,Ä¥ÅÌ²İ,7,10,8,9,Malvaceae,Abutilon,CB
Abutilon sinense,»ªÜÜÂé,1,5,NA,NA,Malvaceae,Abutilon,WD
Acacia caesia,¼âÒ¶ÏàË¼,9,9,11,11,Fabaceae,Acacia,WD
Acacia delavayi,¹âÒ¶½ğºÏ»¶,6,6,7,8,Fabaceae,Acacia,WD
Acacia delavayi var. kunmingensis,À¥Ã÷½ğºÏ»¶,NA,NA,NA,NA,Fabaceae,Acacia,WD
Acacia megaladena,¶ÛÒ¶½ğºÏ»¶,5,6,9,10,Fabaceae,Acacia,WD
Acacia pennata,ÓğÒ¶½ğºÏ»¶,5,7,7,11,Fabaceae,Acacia,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,4,6,7,12,Fabaceae,Acacia,WD
Acalypha acmophylla,Î²Ò¶ÌúÜÈ²Ë,4,8,NA,NA,Euphorbiaceae,Acalypha,WD
Acalypha mairei,Ã«Ò¶ÌúÜÈ²Ë,3,8,7,8,Euphorbiaceae,Acalypha,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,Euphorbiaceae,Acalypha,CB
Acampe rigida,¶à»¨´àÀ¼,8,9,11,11,Orchidaceae,Acampe,CB
Acer amplum,À«Ò¶éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer amplum subsp. bodinieri,½¨Ë®À«Ò¶·ã,3,4,10,10,Aceraceae,Acer,WD
Acer amplum subsp. catalpifolium,ÕÁÒ¶éÊ,4,4,8,10,Aceraceae,Acer,WD
Acer amplum subsp. tientaiense,ÌìÌ¨À«Ò¶·ã,4,4,9,9,Aceraceae,Acer,WD
Acer buergerianum,Èı½ÇéÊ,4,4,8,8,Aceraceae,Acer,WD
Acer cappadocicum,ÇàÆ¤éÊ,4,4,8,8,Aceraceae,Acer,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,9,9,Aceraceae,Acer,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer chingii,Ç­¹ğéÊ,4,4,8,8,Aceraceae,Acer,WD
Acer cordatum,×Ï¹ûéÊ,4,5,8,9,Aceraceae,Acer,WD
Acer coriaceifolia,ÕÁÒ¶éÊ,NA,NA,NA,NA,Aceraceae,Acer,WD
Acer crassum,ºñÒ¶éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer elegantulum,ĞãÀöéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer erianthum,Ã«»¨éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer fabri,ÂŞ¸¡éÊ,4,4,8,9,Aceraceae,Acer,WD
Acer flabellatum,ÉÈÒ¶éÊ,5,6,10,10,Aceraceae,Acer,WD
Acer forrestii,Àö½­éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer henryi,½¨Ê¼éÊ,5,5,9,10,Aceraceae,Acer,WD
Acer kweilinense,¹ğÁÖéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,Aceraceae,Acer,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer longipes,³¤±úéÊ,4,4,9,9,Aceraceae,Acer,WD
Acer lucidum,ÁÁÒ¶éÊ,3.25,4.5,8,9,Aceraceae,Acer,WD
Acer lungshengense,ÁúÊ¤éÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer metcalfii,ÄÏÁëéÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer miaoshanicum,ÃçÉ½éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer oblongum,·É¶êéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer palmatum,¼¦×¦éÊ,4,5,9,9,Aceraceae,Acer,WD
Acer paxii,½ğÉ³éÊ,3,3,8,9,Aceraceae,Acer,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,Aceraceae,Acer,WD
Acer pictum subsp. tricuspis,Èı¼âÉ«Ä¾·ã,NA,NA,9,9,Aceraceae,Acer,WD
Acer poliophyllum,»ÒÒ¶éÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer pubinerve,Ã«ÂöéÊ,4,4,10,10,Aceraceae,Acer,WD
Acer pubipetiolatum,Ã«±úéÊ,3,4,7,8,Aceraceae,Acer,WD
Acer robustum,è¾Ò¶éÊ,5,5,9,9,Aceraceae,Acer,WD
Acer shihweii,Æ½°ÓéÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,Aceraceae,Acer,WD
Acer sino-oblongum,±õº£éÊ,4,4,9,9,Aceraceae,Acer,WD
Acer sterculiaceum subsp. franchetii,·¿ÏØéÊ,NA,NA,NA,NA,Aceraceae,Acer,WD
Acer sycopseoides,½ÇÒ¶éÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer tonkinense,´Ö±úéÊ,4,5,9,9,Aceraceae,Acer,WD
Acer wangchii,Ìì¶ëéÊ,NA,NA,9,9,Aceraceae,Acer,WD
Acer wilsonii,ÈıÏ¿éÊ,4,4,9,9,Aceraceae,Acer,WD
Achillea wilsoniana,ÔÆÄÏİé,10,11,10,11,Asteraceae,Achillea,CB
Achnatherum henryi,ºş±±Ü¸Ü¸²İ,4,6,NA,NA,Poaceae,Achnatherum,CB
