scientific name,Chinese name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Abarema clypearia,Î§ÏÑÊ÷,Fabaceae,2,6,4,8,WD
Abarema lucida,ÁÁÒ¶ºï¶ú»·,Fabaceae,4,6,7,12,WD
Abarema utile,±¡Ò¶Î§ÏÑÊ÷,Fabaceae,NA,NA,NA,NA,WD
Abelmoschus crinitus,³¤Ã«»Æ¿û,Malvaceae,4,9,NA,NA,CB
Abelmoschus sagittifolius,¼ıÒ¶Çï¿û,Malvaceae,5,9,NA,NA,CB
Abrus cantoniensis,¹ã¶«ÏàË¼×Ó,Fabaceae,8,8,NA,NA,WD
Abrus mollis,Ã«ÏàË¼×Ó,Fabaceae,8,8,NA,NA,WD
Abrus precatorius,ÏàË¼×Ó,Fabaceae,3,6,9,10,WD
Abutilon indicum,Ä¥ÅÌ²İ,Malvaceae,6,12,NA,NA,CB
Acacia caesia,¼âÒ¶ÏàË¼,Fabaceae,9,9,NA,NA,WD
Acacia pennata,ÓğÒ¶½ğºÏ»¶,Fabaceae,3,10,7,4,WD
Acalypha hainanensis,º£ÄÏÌúÜÈ²Ë,Euphorbiaceae,8,11,8,11,WD
Acalypha indica,ÈÈ´øÌúÜÈ²Ë,Euphorbiaceae,3,10,3,10,CB
Acalypha lanceolata,ÂéÒ¶ÌúÜÈ²Ë,Euphorbiaceae,5,7,3,10,CB
Acalypha siamensis,ÁâÒ¶ÌúÜÈ²Ë,Euphorbiaceae,6,8,NA,NA,WD
Acampe papillosa,¶ÌĞò´àÀ¼,Orchidaceae,11,11,12,1,CB
Acampe rigida,¶à»¨´àÀ¼,Orchidaceae,8,9,10,11,CB
Acanthus ebracteatus,Ğ¡»¨ÀÏÊóº{,Acanthaceae,10,10,NA,NA,WD
Acanthus ilicifolius,ÀÏÊóº{,Acanthaceae,NA,NA,NA,NA,WD
Acer cordatum,×Ï¹ûéÊ,Aceraceae,4,4,9,9,WD
Acer fabri,ÂŞ¸¡éÊ,Aceraceae,3,4,9,9,WD
Acer laevigatum,¹âÒ¶éÊ,Aceraceae,4,4,8,9,WD
Acer laurinum,Ê®ÈïéÊ,Aceraceae,6,9,9,12,WD
Achyranthes aspera,ÍÁÅ£Ï¥,Amaranthaceae,6,8,10,10,CB
Achyranthes aspera var. indica,¶ÛÒ¶ÍÁÅ£Ï¥,Amaranthaceae,NA,NA,NA,NA,CB
Achyranthes bidentata,Å£Ï¥,Amaranthaceae,7,9,9,10,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,Lamiaceae,11,11,12,12,CB
Acorus gramineus,½ğÇ®ÆÑ,Araceae,2,7,7,8,CB
Acorus tatarinowii,Ê¯İÅÆÑ,Araceae,2,6,2,6,CB
Acrachne racemosa,¼âïû²İ,Poaceae,NA,NA,9,11,CB
Acroceras munroanum,·ïÍ·Êò,Poaceae,9,10,9,10,CB
Acroceras tonkinense,É½¼¦¹È²İ,Poaceae,8,10,8,10,CB
Acronychia oligophlebia,¹±¼×,Rutaceae,4,8,8,12,WD
Acronychia pedunculata,É½ÓÍ¸Ì,Rutaceae,4,8,8,12,WD
Actephila merrilliana,Ï²¹â»¨,Euphorbiaceae,4,10,7,12,WD
Actinidia latifolia,À«Ò¶â¨ºïÌÒ,Actinidiaceae,3,6,10,11,WD
Actinidia melliana,ÃÀÀöâ¨ºïÌÒ,Actinidiaceae,5,6,NA,NA,WD
Actinodaphne glaucina,°×±³»ÆÈâéª,Lauraceae,6,6,10,10,WD
Actinodaphne paotingensis,±£Í¤»ÆÈâéª,Lauraceae,12,12,NA,NA,WD
Actinodaphne pilosa,Ã«»ÆÈâéª,Lauraceae,8,12,2,3,WD
Actinoschoenus chinensis,ÖĞ»ªĞÇËëÉ¯,Cyperaceae,NA,NA,NA,NA,CB
Actinoscirpus grossus,´óË‘²İ,Cyperaceae,7,10,7,10,CB
Adenanthera pavonina var. microsperma,Ğ¡×Ñº£ºì¶¹,Fabaceae,4,7,7,10,WD
Adenia heterophylla,ÒìÒ¶İôÁ«,Passifloraceae,NA,NA,NA,NA,CB
Adenosma glutinosum,Ã«÷êÏã,Scrophulariaceae,7,10,7,10,CB
Adenosma indianum,Çò»¨Ã«ÉäÏã,Scrophulariaceae,9,11,9,11,CB
Adenosma javanicum,ÂÑİàÃ«÷êÏã,Scrophulariaceae,3,4,3,4,CB
Adenostemma lavenia,ÏÂÌï¾Õ,Asteraceae,8,10,8,10,CB
Adenostemma lavenia var. parviflorum,ÏÂÌï¾ÕĞ¡»¨±äÖÖ,Asteraceae,NA,NA,NA,NA,CB
Adina pilulifera,Ë®ÍÅ»¨,Rubiaceae,6,7,NA,NA,WD
Adinandra epunctata,ÎŞÏÙÑîÍ©,Theaceae,1,3,NA,NA,WD
Adinandra glischroloma,Á½¹ãÑîÍ©,Theaceae,5,6,9,10,WD
Adinandra hainanensis,º£ÄÏÑîÍ©,Theaceae,2,5,9,10,WD
Adinandra howii,±£Í¤ÑîÍ©,Theaceae,7,8,10,11,WD
Aegiceras corniculatum,À¯Öò¹û,Myrsinaceae,3,4,7,9,WD
Aeginetia indica,Ò°İÔ,Orobanchaceae,4,8,8,10,CB
Aerva sanguinolenta,°×»¨ÜÈ,Amaranthaceae,9,12,8,10,CB
Aeschynanthus acuminatus,Ã¢Ã«ÜÄÌ¦,Gesneriaceae,10,12,NA,NA,WD
Aeschynanthus moningeriae,ºì»¨Ã¢Ã«ÜÄÌ¦,Gesneriaceae,9,1,NA,NA,WD
Aganosma cymosa,ÔÆÄÏÏã»¨ÌÙ,Apocynaceae,5,8,9,2,WD
Aganosma marginata,Ïã»¨ÌÙ,Apocynaceae,3,9,7,2,WD
Aganosma schlechteriana,º£ÄÏÏã»¨ÌÙ,Apocynaceae,3,7,8,2,WD
Agelaea trinervis,Àõ¶¹ÌÙ,Connaraceae,7,10,8,12,WD
Aglaia elaeagnoidea,É½é¡,Meliaceae,6,10,7,4,WD
Aglaia lawii,ÍûÚÓÑÂÄ¦,Meliaceae,5,12,1,12,WD
Aglaia odorata,Ã××ĞÀ¼,Meliaceae,5,12,7,3,WD
Aglaia perviridis,±ÌÂÌÃ××ĞÀ¼,Meliaceae,3,5,9,12,WD
Aglaia spectabilis,Çú¹£ÑÂÄ¦,Meliaceae,6,7,10,4,WD
Agrostophyllum callosum,ºÌÒ¶À¼,Orchidaceae,7,8,7,8,CB
Aidia canthioides,Ïãéª,Rubiaceae,4,6,5,2,WD
Aidia cochinchinensis,ÜçÊ÷,Rubiaceae,3,6,5,2,WD
Aidia oxyodonta,¼âİàÜçÊ÷,Rubiaceae,4,9,5,10,WD
