scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia biflora,ÁùµÀÄ¾,3,4,8,9,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Abelia,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,7,9,NA,NA,NA,Malvaceae,CB
Abutilon theophrasti,ÜÜÂé,7,8,9,9,NA,Malvaceae,CB
Acer davidii,ÇàÕ¥éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,NA,Aceraceae,WD
Acer tegmentosum,Çà¿¬éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Acer tschonoskii subsp. koreanum,Ğ¡¿¬éÊ,5,5,9,9,NA,Aceraceae,WD
Achillea asiatica,ÑÇÖŞİé,7,9,7,9,Achillea,Asteraceae,CB
Achillea ptarmicoides,¶Ì°êİé,7,9,7,9,Achillea,Asteraceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,NA,NA,NA,NA,NA,Poaceae,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,9,6,9,NA,Poaceae,CB
