scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Acer barbinerve,÷ÚÂöéÊ,5,6,8,9,Acer,Aceraceae,WD
Acer mandshuricum,¶«±±éÊ,5,6,9,9,Acer,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pinnatinervium,éªÒ¶·ã,8,10,1,2,NA,Aceraceae,WD
Acer pseudosieboldianum,×Ï»¨éÊ,5,6,9,9,NA,Aceraceae,WD
Acer tataricum subsp. ginnala,²èÌõ·ã,5,5,10,10,NA,Aceraceae,WD
Acer tegmentosum,Çà¿¬éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer triflorum,Èı»¨éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Acer tschonoskii subsp. koreanum,Ğ¡¿¬éÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Achillea acuminata,³İÒ¶İé,7,8,7,8,NA,Asteraceae,CB
Achillea asiatica,ÑÇÖŞİé,7,8,8,9,Achillea,Asteraceae,CB
Achillea ptarmicoides,¶Ì°êİé,7,9,7,9,Achillea,Asteraceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Aconitum alboviolaceum,Á½É«ÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum ambiguum,ĞË°²ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum birobidshanicum,´øÁìÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum coreanum,»Æ»¨ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum daxinganlinense,´óĞË°²ÁëÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum dunhuaense,¶Ø»¯ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum fischeri,±¡Ò¶ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum fischeri var. arcuatum,ÍäÖ¦ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum jaluense,Ñ¼ÂÌÎÚÍ·,9,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum jaluense var. glabrescens,¹â¹£Ñ¼ÂÌÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum jeholense,ÈÈºÓÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum kirinense,¼ªÁÖÎÚÍ·,7,9,9,9,Aconitum,Ranunculaceae,CB
Aconitum kusnezoffii,±±ÎÚÍ·,7,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum macrorhynchum,Ï¸Ò¶ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum raddeanum,´ó°úÎÚÍ·,7,7,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum sczukinii,¿íÒ¶ÂûÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum tschangbaischanense,³¤°×ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum villosum,°×Ã«ÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum volubile,ÂûÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum volubile var. pubescens,¾íÃ«ÂûÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Acorus,Araceae,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,5,6,7,9,Actaea,Ranunculaceae,CB
Actaea erythrocarpa,ºì¹ûÀàÒ¶ÉıÂé,5,6,7,8,NA,Ranunculaceae,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia kolomikta,¹·Ôæâ¨ºïÌÒ,5,7,9,10,Actinidia,Actinidiaceae,WD
Actinidia polygama,¸ğÔæâ¨ºïÌÒ,6,7,9,10,NA,Actinidiaceae,WD
Actinostemma tenerum,ºĞ×Ó²İ,7,9,9,11,NA,Cucurbitaceae,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,6,11,6,11,Adenocaulon,Asteraceae,CB
Adenophora divaricata,Õ¹Ö¦É³²Î,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora gmelinii,ÏÁÒ¶É³²Î,7,9,8,10,Adenophora,Campanulaceae,CB
Adenophora palustris,ÕÓÉ³²Î,8,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora pereskiifolia,³¤°×É³²Î,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora polyantha,¹âİàÉ³²Î,8,10,NA,NA,Adenophora,Campanulaceae,CB
Adenophora potaninii subsp. wawreana,¶àÆçÉ³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora remotiflora,±¡Ò¶ÜùÆs,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora stenanthina,³¤ÖùÉ³²Î,8,9,NA,NA,Adenophora,Campanulaceae,CB
Adenophora stenophylla,É¨ÖãÉ³²Î,7,9,9,9,Adenophora,Campanulaceae,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora tricuspidata,¾â³İÉ³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adlumia asiatica,ºÉ°üÌÙ,7,9,7,9,NA,Papaveraceae,CB
Adonis amurensis,²à½ğÕµ»¨,3,4,NA,NA,NA,Ranunculaceae,CB
Adoxa moschatellina,Îå¸£»¨,4,7,7,8,Adoxa,Adoxaceae,CB
Adoxa orientalis,¶«·½Îå¸£»¨,NA,NA,NA,NA,NA,Adoxaceae,CB
Aegopodium alpestre,¶«±±Ñò½ÇÇÛ,6,8,6,8,NA,Apiaceae,CB
Agastache rugosa,Ş½Ïã,6,9,9,11,NA,Lamiaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Agrimonia,Rosaceae,CB
Agriophyllum squarrosum,É³Åî,8,10,8,10,Agriophyllum,Chenopodiaceae,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,NA,NA,NA,NA,NA,Poaceae,CB
Agrostis divaricatissima,ÆçĞò¼ô¹ÉÓ±,7,8,7,8,Agrostis,Poaceae,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,NA,NA,NA,NA,NA,Poaceae,CB
Agrostis stolonifera,Î÷²®ÀûÑÇ¼ô¹ÉÓ±,8,8,NA,NA,Agrostis,Poaceae,CB
Agrostis vinealis,Ã¢¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Ajania pallasiana,ÑÇ¾Õ,8,9,8,9,Ajania,Asteraceae,CB
Ajania variifolia,ÒìÒ¶ÑÇ¾Õ,8,9,8,9,Ajania,Asteraceae,WD
Alisma gramineum,²İÔóĞº,6,9,6,9,NA,Alismataceae,CB
Alisma orientale,¶«·½ÔóĞº,5,9,5,9,NA,Alismataceae,CB
