scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,Pithecellobium Mart.,Fabaceae,WD
Abelia biflora,ÁùµÀÄ¾,3,5,8,9,Abelia,Caprifoliaceae,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,Abelia,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4.25,6.5,8,9,Abelia,Caprifoliaceae,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,7,12,NA,NA,Abelmoschus,Malvaceae,CB
Acalypha australis,ÌúÜÈ²Ë,8,10,9,11,Acalypha,Euphorbiaceae,CB
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,Acalypha,Euphorbiaceae,CB
Acer amplum,À«Ò¶éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,4,5,8,9,Acer,Aceraceae,WD
Acer buergerianum var. kaiscianense,½çÉ½Èı½Ç·ã,NA,NA,9,9,Acer,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,5,5,9,9,Acer,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer duplicatoserratum var. chinense,ÖĞ»ªÖØ³İ·ã,NA,NA,NA,NA,Acer,Aceraceae,WD
Acer erianthum,Ã«»¨éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,9,Acer,Aceraceae,WD
