scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia biflora,ÁùµÀÄ¾,2,3,8,9,NA,Caprifoliaceae,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,6,9,Abelia,Caprifoliaceae,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,7,7,9,Abelia,Caprifoliaceae,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,NA,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,8,10,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon sinense,»ªÜÜÂé,1,5,NA,NA,Abutilon,Malvaceae,WD
Acalypha acmophylla,Î²Ò¶ÌúÜÈ²Ë,5,7,8,10,NA,Euphorbiaceae,WD
Acalypha australis,ÌúÜÈ²Ë,5,7,8,11,Acalypha,Euphorbiaceae,CB
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,NA,Euphorbiaceae,CB
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acanthus ebracteatus,Ğ¡»¨ÀÏÊóº{,4,5,8,9,NA,Acanthaceae,WD
Acer amplum,À«Ò¶éÊ,4,4,8,9,Acer,Aceraceae,WD
Acer amplum subsp. bodinieri,½¨Ë®À«Ò¶·ã,3,4,10,10,NA,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,5,5,9,9,NA,Aceraceae,WD
Acer buergerianum var. kaiscianense,½çÉ½Èı½Ç·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,5,5,9,9,Acer,Aceraceae,WD
Acer cappadocicum,ÇàÆ¤éÊ,4,4,8,8,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,4,4,9,9,NA,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer cordatum,×Ï¹ûéÊ,4,5,9,9,Acer,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,5,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer elegantulum,ĞãÀöéÊ,5,5,9,9,Acer,Aceraceae,WD
Acer erianthum,Ã«»¨éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer fabri,ÂŞ¸¡éÊ,4,5,9,9,Acer,Aceraceae,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,9,10,NA,Aceraceae,WD
Acer fulvescens,»ÆÃ«éÊ,4,4,8,8,NA,Aceraceae,WD
Acer griseum,ÑªÆ¤éÊ,4,4,9,9,Acer,Aceraceae,WD
