scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Abarema lucida,亮叶猴耳环,NA,NA,NA,NA,WD
Abelia chinensis,糯米条,8,9,10,11,WD
Abelia dielsii,南方六道木,4,6,8,9,WD
Abelia umbellata,伞花六道木,5,6,8,9,WD
Abelia uniflora,二翅六道木,4,6,8,10,WD
Abelmoschus crinitus,长毛黄葵,5,9,NA,NA,CB
Abelmoschus manihot,黄蜀葵,8,10,NA,NA,CB
Abelmoschus manihot var. pungens,刚毛黄蜀葵,NA,NA,NA,NA,CB
Abelmoschus sagittifolius,箭叶秋葵,5,9,NA,NA,CB
Acacia delavayi,光叶金合欢,7,7,9,9,WD
Acacia pennata,羽叶金合欢,3,10,7,4,WD
Acacia sinuata,藤金合欢,4,7,7,12,WD
Acacia vietnamensis,越南金合欢,3,7,6,12,WD
Acalypha supera,裂苞铁苋菜,5,12,NA,NA,CB
Acanthochlamys bracteata,芒苞草,6,6,8,8,CB
Acanthus ebracteatus,小花老鼠簕,4,5,8,9,WD
Acer amplum,阔叶槭,4,4,9,9,WD
Acer amplum subsp. bodinieri,建水阔叶枫,3,4,10,10,WD
Acer amplum subsp. catalpifolium,樟叶槭,4,4,8,10,WD
Acer buergerianum,三角槭,4,4,8,8,WD
Acer cappadocicum var. sinicum,小叶青皮枫,NA,NA,NA,NA,WD
Acer caudatum,长尾槭,5,5,9,9,WD
Acer chingii,黔桂槭,4,4,8,8,WD
Acer cordatum,紫果槭,4,4,9,9,WD
Acer davidii,青榨槭,4,4,9,9,WD
Acer davidii subsp. grosseri,葛萝槭,4,4,9,9,WD
Acer elegantulum,秀丽槭,5,5,9,9,WD
Acer erianthum,毛花槭,5,5,9,9,WD
Acer fabri,罗浮槭,3,4,9,9,WD
Acer flabellatum,扇叶槭,6,6,NA,NA,WD
Acer griseum,血皮槭,4,4,9,9,WD
Acer henryi,建始槭,4,4,9,9,WD
Acer kweilinense,桂林槭,4,4,9,9,WD
Acer laevigatum,光叶槭,4,4,8,9,WD
Acer laxiflorum,疏花槭,4,4,9,9,WD
Acer linganense,临安槭,4,5,9,9,WD
Acer longipes,长柄槭,4,4,9,9,WD
