scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Abelia,Caprifoliaceae,WD
Acalypha australis,ÌúÜÈ²Ë,5,7,7,9,Acalypha,Euphorbiaceae,CB
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,NA,NA,NA,NA,NA,Euphorbiaceae,CB
Acer amplum,À«Ò¶éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,4,4,8,8,NA,Aceraceae,WD
Acer buergerianum var. yentangense,Ñãµ´Èı½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer duplicatoserratum var. chinense,ÖĞ»ªÖØ³İ·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer elegantulum,ĞãÀöéÊ,5,5,9,9,Acer,Aceraceae,WD
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,9,NA,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer palmatum,¼¦×¦éÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer tataricum subsp. ginnala,²èÌõ·ã,5,5,10,10,NA,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Achnatherum coreanum,´óÒ¶Ö±Ã¢²İ,NA,NA,NA,NA,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Achyrospermum,Lamiaceae,CB
Aconitum carmichaelii,ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum carmichaelii var. tripartitum,ÉîÁÑÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum carmichaelii var. truppelianum,Õ¹Ã«ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Acorus,Araceae,CB
Acorus gramineus,½ğÇ®ÆÑ,5,6,7,8,NA,Araceae,CB
Acorus tatarinowii,Ê¯İÅÆÑ,2,6,2,6,NA,Araceae,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia macrosperma var. mumoides,Ã·Ò¶â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia valvata,¶Ôİàâ¨ºïÌÒ,NA,NA,NA,NA,Actinidia,Actinidiaceae,WD
Actinostemma tenerum,ºĞ×Ó²İ,7,9,9,11,NA,Cucurbitaceae,CB
Adenophora petiolata subsp. huadungensis,»ª¶«ĞÓÒ¶É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora polyantha,¹âİàÉ³²Î,8,10,NA,NA,Adenophora,Campanulaceae,CB
Adenophora remotiflora,±¡Ò¶ÜùÆs,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora stricta,´¨Î÷É³²Î,8,10,NA,NA,Adenophora,Campanulaceae,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora trachelioides,ÜùÆs,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora trachelioides subsp. giangsuensis,ËÕÄÏÜùÆs,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenostemma lavenia,ÏÂÌï¾Õ,8,10,8,10,Adenostemma,Asteraceae,CB
Adina rubella,Ï¸Ò¶Ë®ÍÅ»¨,5,12,5,12,NA,Rubiaceae,WD
Adonis ramosa,ÁÉ¼ª²à½ğÕµ»¨,3,4,NA,NA,Adonis,Ranunculaceae,CB
Aeginetia indica,Ò°İÔ,4,8,8,10,Aeginetia,Orobanchaceae,CB
Aeschynomene indica,ºÏÃÈ,7,8,8,10,NA,Fabaceae,CB
Agastache rugosa,Ş½Ïã,6,9,9,11,NA,Lamiaceae,CB
Agrimonia coreana,ÍĞÒ¶ÁúÑ¿²İ,7,8,7,8,Agrimonia,Rosaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Agrimonia,Rosaceae,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,NA,Rosaceae,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,8,8,8,8,NA,Poaceae,CB
Agrostis sozanensis,Ì¨Íå¼ô¹ÉÓ±,NA,NA,NA,NA,NA,Poaceae,CB
Ailanthus altissima,³ô´»,4,5,8,10,Ailanthus,Simaroubaceae,WD
Ailanthus altissima var. tanakai,Ì¨Íå³ô´»,NA,NA,NA,NA,NA,Simaroubaceae,WD
Ainsliaea fragrans,ĞÓÏãÍÃ¶ù·ç,11,12,NA,NA,Ainsliaea,Asteraceae,CB
Ajuga ciliata,½î¹Ç²İ,4,8,7,9,Ajuga,Lamiaceae,CB
Ajuga decumbens,½ğ´¯Ğ¡²İ,3,7,5,11,NA,Lamiaceae,CB
Ajuga linearifolia,ÏßÒ¶½î¹Ç²İ,4,5,5,10,Ajuga,Lamiaceae,CB
Ajuga nipponensis,×Ï±³½ğÅÌ,4,6,5,7,Ajuga,Lamiaceae,CB
Akebia quinata,Ä¾Í¨,4,5,6,8,Akebia,Lardizabalaceae,WD
Akebia trifoliata,ÈıÒ¶Ä¾Í¨,4,5,7,8,NA,Lardizabalaceae,WD
Akebia trifoliata subsp. australis,°×Ä¾Í¨,4,5,6,9,NA,Lardizabalaceae,WD
Alangium chinense,°Ë½Ç·ã,5,6,9,9,NA,Alangiaceae,WD
Alangium chinense subsp. strigosum,·üÃ«°Ë½Ç·ã,6,7,8,9,NA,Alangiaceae,WD
Alangium kurzii,Ã«°Ë½Ç·ã,5,6,9,9,NA,Alangiaceae,WD
Alangium kurzii var. handelii,ÔÆÉ½°Ë½Ç·ã,5,5,8,8,NA,Alangiaceae,WD
Albizia kalkora,É½»±,5,6,8,10,NA,Fabaceae,WD
Alcea rosea,Êñ¿û,2,8,NA,NA,NA,Malvaceae,CB
Alchornea davidii,É½Âé¸Ë,3,5,6,7,NA,Euphorbiaceae,WD
Aletris spicata,·ÛÌõ¶ù²Ë,4,5,6,7,Aletris,Liliaceae,CB
Alisma canaliculatum,Õ­Ò¶ÔóĞº,5,10,5,10,NA,Alismataceae,CB
Alisma orientale,¶«·½ÔóĞº,5,9,5,9,NA,Alismataceae,CB
Allium chinense,ËŠÍ·,10,11,10,11,NA,Liliaceae,CB
Allium macrostemon,Ş¯°×,5,7,5,7,NA,Liliaceae,CB
Allium sacculiferum,³¯ÏÊŞ¯,NA,NA,NA,NA,NA,Liliaceae,CB
Allium tenuissimum,Ï¸Ò¶¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium thunbergii,ÇòĞò¾Â,8,10,8,10,Allium,Liliaceae,CB
Alniphyllum fortunei,³àÑîÒ¶,4,7,8,10,Alniphyllum,Styracaceae,WD
Alnus japonica,ÈÕ±¾èçÄ¾,NA,NA,NA,NA,NA,Betulaceae,WD
Alnus trabeculosa,½­ÄÏèçÄ¾,NA,NA,NA,NA,NA,Betulaceae,WD
Alopecurus aequalis,¿´ÂóÄï,4,8,4,8,Alopecurus,Poaceae,CB
Alopecurus japonicus,ÈÕ±¾¿´ÂóÄï,2,5,2,5,Alopecurus,Poaceae,CB
Alternanthera sessilis,Á«×Ó²İ,5,7,7,9,Alternanthera,Amaranthaceae,CB
Amaranthus blitum,°¼Í·ÜÈ,7,8,8,9,NA,Amaranthaceae,CB
Amaranthus retroflexus,·´Ö¦ÜÈ,7,8,8,9,NA,Amaranthaceae,CB
Amaranthus spinosus,´ÌÜÈ,7,11,7,11,NA,Amaranthaceae,CB
Amaranthus viridis,Öå¹ûÜÈ,6,8,8,10,NA,Amaranthaceae,CB
Amethystea caerulea,Ë®¼¬Õë,8,9,9,10,Amethystea,Lamiaceae,CB
Amitostigma gracile,ÎŞÖùÀ¼,6,7,9,10,Amitostigma,Orchidaceae,CB
Amitostigma pinguiculum,´ó»¨ÎŞÖùÀ¼,4,5,NA,NA,Amitostigma,Orchidaceae,CB
Ammannia auriculata,¶ú»ùË®ÜÈ,8,12,8,12,Ammannia,Lythraceae,CB
Ammannia baccifera,Ë®ÜÈ²Ë,8,10,9,12,NA,Lythraceae,CB
Ammannia multiflora,¶à»¨Ë®ÜÈ²Ë,7,8,9,9,Ammannia,Lythraceae,CB
Amorphophallus kiusianus,¶«ÑÇÄ¥Óó,4,6,5,7,Amorphophallus,Araceae,CB
Amorphophallus konjac,Ä¥Óó,4,6,8,9,Amorphophallus,Araceae,CB
Ampelopsis delavayana,ÈıÁÑÉßÆÏÌÑ,6,7,9,11,Ampelopsis,Vitaceae,WD
Ampelopsis delavayana var. glabra,ÕÆÁÑÉßÆÏÌÑ,5,6,7,9,NA,Vitaceae,WD
Ampelopsis glandulosa,ÉßÆÏÌÑ,5,7,8,9,Ampelopsis,Vitaceae,WD
Ampelopsis glandulosa var. brevipedunculata,¶«±±ÉßÆÏÌÑ,7,8,9,10,NA,Vitaceae,WD
Ampelopsis glandulosa var. hancei,¹âÒ¶ÉßÆÏÌÑ,4,6,8,10,NA,Vitaceae,WD
Ampelopsis glandulosa var. heterophylla,ÒìÒ¶ÉßÆÏÌÑ,4,6,7,10,NA,Vitaceae,WD
Ampelopsis glandulosa var. kulingensis,êôÁëÉßÆÏÌÑ,5,7,8,9,NA,Vitaceae,WD
Ampelopsis humulifolia,È„Ò¶ÉßÆÏÌÑ,5,7,5,9,Ampelopsis,Vitaceae,WD
Ampelopsis japonica,°×İü,5,6,7,9,Ampelopsis,Vitaceae,WD
Ampelopsis megalophylla var. jiangxiensis,ÈáÃ«´óÒ¶ÉßÆÏÌÑ,5,7,NA,NA,NA,Vitaceae,WD
Amphicarpaea bracteata subsp. edgeworthii,Á½ĞÍ¶¹,NA,NA,NA,NA,NA,Fabaceae,CB
Amygdalus davidiana,É½ÌÒ,NA,NA,NA,NA,NA,Rosaceae,WD
Amygdalus persica,ÌÒ,3,4,8,9,NA,Rosaceae,WD
Amygdalus triloba,ÓÜÒ¶Ã·,4,5,5,7,NA,Rosaceae,WD
Anaphalis sinica,ÏãÇà,NA,NA,NA,NA,NA,Asteraceae,CB
Androsace umbellata,µãµØÃ·,2,4,5,6,Androsace,Primulaceae,CB
Anemone flaccida,¶ìÕÆ²İ,4,6,NA,NA,Anemone,Ranunculaceae,CB
Anemone hupehensis,´òÆÆÍë»¨»¨,7,10,NA,NA,Anemone,Ranunculaceae,CB
Anemone hupehensis var. japonica,ÇïÄµµ¤,NA,NA,NA,NA,NA,Ranunculaceae,CB
Angelica cartilaginomarginata,³¤ÇÊµ±¹é,8,9,9,10,Angelica,Apiaceae,CB
Angelica cartilaginomarginata var. foliosa,¹ÇÔµµ±¹é,NA,NA,NA,NA,NA,Apiaceae,CB
Angelica dahurica,°×ÜÆ,7,8,8,9,Angelica,Apiaceae,CB
Angelica dahurica cv. Hangbaizhi,º¼°×ÜÆ,NA,NA,NA,NA,NA,Apiaceae,CB
Angelica decursiva,²ñ»¨Ç°ºú,8,9,9,11,NA,Apiaceae,CB
Angelica polymorpha,¹ÕÇÛ,8,9,9,10,Angelica,Apiaceae,CB
Antenoron filiforme,½ğÏß²İ,7,8,9,10,Antenoron,Polygonaceae,CB
Antenoron filiforme var. neofiliforme,¶ÌÃ«½ğÏß²İ,NA,NA,NA,NA,NA,Polygonaceae,CB
Anthoxanthum glabrum,¹âïûÏã²İ,6,9,6,9,NA,Poaceae,CB
Anthriscus sylvestris,¶ë²Î,4,5,4,5,Anthriscus,Apiaceae,CB
Aphananthe aspera,²ÚÒ¶Ê÷,3,5,8,10,Aphananthe,Ulmaceae,WD
Apios fortunei,ÍÁˆK¶ù,6,8,9,10,Apios,Fabaceae,CB
Apocynum venetum,ÂŞ²¼Âé,4,9,7,12,NA,Apocynaceae,WD
Aquilegia viridiflora,ñï¶·²Ë,5,7,7,8,NA,Ranunculaceae,CB
Arabidopsis thaliana,Êó¶ú½æ,4,6,NA,NA,Arabidopsis,Brassicaceae,CB
Arabis flagellosa,ÙéÙëÄÏ½æ,3,3,4,4,Arabis,Brassicaceae,CB
Aralia chinensis,»ÆÃ«˜BÄ¾,7,9,9,12,NA,Araliaceae,WD
Aralia cordata,Ê³ÓÃÍÁµ±¹é,7,8,9,12,NA,Araliaceae,CB
Aralia echinocaulis,¼¬¾¥˜BÄ¾,6,8,9,11,Aralia,Araliaceae,WD
Aralia elata,˜BÄ¾,6,8,9,10,Aralia,Araliaceae,WD
Ardisia crenata,ÖìÉ°¸ù,5,6,10,12,Ardisia,Myrsinaceae,WD
Ardisia japonica,×Ï½ğÅ£,5,6,11,12,Ardisia,Myrsinaceae,WD
Arenaria juncea,ÀÏÅ£½î,7,9,7,9,NA,Caryophyllaceae,CB
Arenaria serpyllifolia,ÎŞĞÄ²Ë,6,8,8,9,NA,Caryophyllaceae,CB
Arisaema amurense,¶«±±ÄÏĞÇ,5,5,9,9,Arisaema,Araceae,CB
Arisaema bockii,µÆÌ¨Á«,5,5,8,9,NA,Araceae,CB
Arisaema du-bois-reymondiae,ÔÆÌ¨ÄÏĞÇ,4,5,NA,NA,Arisaema,Araceae,CB
Arisaema heterophyllum,ÌìÄÏĞÇ,4,5,7,9,Arisaema,Araceae,CB
Arisaema silvestrii,¶õÎ÷ÄÏĞÇ,4,5,7,9,NA,Araceae,CB
Aristida adscensionis,ÈıÃ¢²İ,6,10,6,10,Aristida,Poaceae,CB
Aristida cumingiana,»Æ²İÃ«,NA,NA,NA,NA,NA,Poaceae,CB
Aristolochia contorta,±±Âí¶µÁå,5,7,8,10,Aristolochia,Aristolochiaceae,CB
Aristolochia debilis,Âí¶µÁå,7,8,9,10,NA,Aristolochiaceae,CB
Aristolochia mollissima,Ñ°¹Ç·ç,4,6,8,10,Aristolochia,Aristolochiaceae,WD
Armeniaca mume,Ã·,NA,NA,5,6,NA,Rosaceae,WD
Armeniaca vulgaris,ĞÓ,3,4,6,7,NA,Rosaceae,WD
Artemisia absinthium,ÖĞÑÇ¿àİï,8,11,8,11,NA,Asteraceae,CB
Artemisia annua,»Æ»¨İï,8,11,8,11,NA,Asteraceae,CB
Artemisia anomala,Ææİï,6,11,6,11,Artemisia,Asteraceae,CB
Artemisia argyi,°¬,7,10,7,10,Artemisia,Asteraceae,CB
Artemisia capillaris,Òğ³Âİï,7,10,7,10,NA,Asteraceae,CB
Artemisia carvifolia,Çàİï,6,9,6,9,Artemisia,Asteraceae,CB
Artemisia carvifolia var. schochii,´óÍ·Çàİï,NA,NA,NA,NA,NA,Asteraceae,CB
Artemisia eriopoda,ÄÏÄµİï,NA,NA,NA,NA,NA,Asteraceae,CB
Artemisia gmelinii,Ï¸ÁÑÒ¶Á«İï,8,10,8,10,Artemisia,Asteraceae,WD
Artemisia indica,ÎåÔÂ°¬,8,10,8,10,Artemisia,Asteraceae,WD
Artemisia japonica,Äµİï,7,10,7,10,Artemisia,Asteraceae,CB
Artemisia lactiflora,°×°úİï,8,11,8,11,Artemisia,Asteraceae,CB
Artemisia lancea,°«İï,8,10,8,10,Artemisia,Asteraceae,CB
Artemisia lavandulifolia,Ò°°¬İï,NA,NA,NA,NA,NA,Asteraceae,CB
Artemisia mongolica,ÃÉ¹Åİï,8,10,8,10,NA,Asteraceae,CB
Artemisia princeps,¿ıİï,7,11,7,11,Artemisia,Asteraceae,CB
Artemisia rubripes,ºì×ãİï,8,10,8,10,Artemisia,Asteraceae,CB
Artemisia sacrorum,°×Á«İï,7,10,7,10,NA,Asteraceae,WD
Artemisia sacrorum var. incana,»ÒÁ«İï,NA,NA,NA,NA,NA,Asteraceae,WD
Artemisia scoparia,ÖíÃ«İï,7,10,7,10,Artemisia,Asteraceae,CB
Artemisia selengensis,İäİï,7,10,7,10,Artemisia,Asteraceae,CB
Artemisia sylvatica,ÒõµØİï,9,10,9,10,Artemisia,Asteraceae,CB
Artemisia vulgaris,±±°¬,8,10,8,10,Artemisia,Asteraceae,CB
Arthraxon hispidus,İ£²İ,8,11,8,11,Arthraxon,Poaceae,CB
Arthraxon hispidus var. centrasiaticus,ÖĞÑÇİ£²İ,8,9,8,9,NA,Poaceae,CB
Arthraxon prionodes,Ã©Ò¶İ£²İ,NA,NA,NA,NA,NA,Poaceae,CB
Aruncus sylvester,¼ÙÉıÂé,6,6,8,9,Aruncus,Rosaceae,CB
Arundinella hirta,Ã«¸ÑÒ°¹Å²İ,8,10,8,10,Arundinella,Poaceae,CB
Arundinella setosa,´ÌÃ¢Ò°¹Å²İ,8,12,8,12,Arundinella,Poaceae,CB
Asarum forbesii,¶Åºâ,4,5,NA,NA,NA,Aristolochiaceae,CB
Asarum sieboldii,ºº³ÇÏ¸ĞÁ,4,5,NA,NA,NA,Aristolochiaceae,CB
Asparagus acicularis,É½ÎÄÖñ,6,11,6,11,Asparagus,Liliaceae,CB
Asparagus cochinchinensis,ÌìÃÅ¶¬,5,6,8,10,Asparagus,Liliaceae,CB
Asparagus dauricus,ĞË°²ÌìÃÅ¶¬,5,6,7,9,Asparagus,Liliaceae,CB
Asparagus officinalis,Ê¯µó°Ø,5,6,9,10,NA,Liliaceae,CB
Asparagus oligoclonos,ÄÏÓñ´ø,5,5,6,7,NA,Liliaceae,CB
Asparagus trichophyllus,ÇúÖ¦ÌìÃÅ¶¬,5,5,7,7,Asparagus,Liliaceae,CB
Aster ageratoides var. oophyllus,ÈıÂö×ÏİÒÂÑÒ¶±äÖÖ,NA,NA,NA,NA,NA,Asteraceae,CB
Aster ageratoides var. scaberulus,ÈıÂö×ÏİÒÎ¢²Ú±äÖÖ,NA,NA,NA,NA,NA,Asteraceae,CB
Aster panduratus,ÇÙÒ¶×ÏİÒ,2,9,6,10,Aster,Asteraceae,CB
Aster tataricus,×ÏİÒ,7,9,8,10,NA,Asteraceae,CB
Aster trinervius,Èı»ùÂö×ÏİÒ,7,12,7,12,NA,Asteraceae,CB
Aster turbinatus,ÍÓÂİ×ÏİÒ,8,10,10,11,Aster,Asteraceae,CB
Astilbe grandis,´óÂäĞÂ¸¾,6,9,6,9,Astilbe,Saxifragaceae,CB
Astilbe macrocarpa,´ó¹ûÂäĞÂ¸¾,6,9,6,9,Astilbe,Saxifragaceae,CB
Astragalus adsurgens,Ğ±¾¥»ÆêÈ,6,8,8,10,NA,Fabaceae,CB
Astragalus chinensis,»ª»ÆêÈ,6,7,7,8,NA,Fabaceae,CB
Astragalus scaberrimus,²ÚÒ¶»ÆêÈ,4,8,5,9,Astragalus,Fabaceae,CB
Astragalus sinicus,×ÏÔÆÓ¢,2,6,3,7,NA,Fabaceae,CB
Atractylodes lancea,²ÔÊõ,6,10,6,10,Atractylodes,Asteraceae,CB
Avena fatua,Ò°ÑàÂó,4,9,4,9,Avena,Poaceae,CB
Avena fatua var. glabrata,¹âïûÒ°ÑàÂó,NA,NA,NA,NA,NA,Poaceae,CB
Bambusa multiplex,Ğ¢Ë³Öñ,NA,NA,NA,NA,NA,Poaceae,WD
Barnardia japonica,ÃàÔæ¶ù,7,11,7,11,Barnardia,Liliaceae,CB
Batrachium bungei,Ë®Ã«İ¢,5,8,NA,NA,NA,Ranunculaceae,CB
Batrachium trichophyllum,Ã«±úË®Ã«İ¢,5,7,NA,NA,NA,Ranunculaceae,CB
Beckmannia syzigachne,ÈD²İ,4,10,4,10,Beckmannia,Poaceae,CB
Begonia grandis,Çïº£ÌÄ,NA,NA,NA,NA,NA,Begoniaceae,CB
Belamcanda chinensis,Éä¸É,6,8,7,9,NA,Iridaceae,CB
Berberis thunbegii,ÈÕ±¾Ğ¡éŞ,NA,NA,NA,NA,NA,Berberidaceae,WD
Berberis virgetorum,Â®É½Ğ¡éŞ,4,5,6,10,NA,Berberidaceae,WD
Berchemia floribunda,¶à»¨¹´¶ù²è,7,10,4,7,Berchemia,Rhamnaceae,WD
Berchemia huana,´óÒ¶¹´¶ù²è,7,9,5,6,Berchemia,Rhamnaceae,WD
Berchemia kulingensis,êôÁë¹´¶ù²è,6,7,4,6,Berchemia,Rhamnaceae,WD
Betula luminifera,ÁÁÒ¶èë,NA,NA,NA,NA,NA,Betulaceae,WD
Bidens bipinnata,ÆÅÆÅÕë,NA,NA,NA,NA,NA,Asteraceae,CB
Bidens parviflora,Ğ¡»¨¹íÕë²İ,NA,NA,NA,NA,NA,Asteraceae,CB
Bidens pilosa,¹íÕë²İ,NA,NA,NA,NA,NA,Asteraceae,CB
Bidens tripartita,ÀÇèË²İ,NA,NA,NA,NA,NA,Asteraceae,CB
Biondia henryi,ÇàÁúÌÙ,4,7,7,10,Biondia,Asclepiadaceae,CB
Biondia microcentra,ìî·çÌÙ,5,7,7,10,Biondia,Asclepiadaceae,CB
Bischofia javanica,Çï·ã,4,5,8,10,Bischofia,Euphorbiaceae,WD
Bischofia polycarpa,ÖØÑôÄ¾,4,5,10,11,NA,Euphorbiaceae,WD
Bletilla striata,°×¼°,4,5,NA,NA,NA,Orchidaceae,CB
Blyxa echinosperma,ÓĞÎ²Ë®É¸,6,10,NA,NA,NA,Hydrocharitaceae,CB
Blyxa japonica,Ë®É¸,5,10,5,10,NA,Hydrocharitaceae,CB
Boea hygrometrica,ĞıİôÜÄÌ¦,7,8,9,9,Boea,Gesneriaceae,CB
Boehmeria clidemioides var. diffusa,ĞòÒ¶ÜÑÂé,NA,NA,NA,NA,NA,Urticaceae,CB
Boehmeria japonica,Ò°ÏßÂé,6,8,9,11,Boehmeria,Urticaceae,CB
Boehmeria nivea,ÜÑÂé,8,10,NA,NA,NA,Urticaceae,WD
Boehmeria nivea var. tenacissima,ÇàÒ¶ÜÑÂé,NA,NA,NA,NA,NA,Urticaceae,WD
Boehmeria spicata,Ğ¡³àÂé,6,8,NA,NA,Boehmeria,Urticaceae,CB
Boehmeria tricuspis,°Ë½ÇÂé,7,8,NA,NA,Boehmeria,Urticaceae,CB
Bolboschoenus yagara,¾£Èı¶ ,5,7,NA,NA,NA,Cyperaceae,CB
Bothriochloa ischaemum,°×Ñò²İ,NA,NA,NA,NA,NA,Poaceae,CB
Bothriospermum chinense,°ßÖÖ²İ,4,6,NA,NA,Bothriospermum,Boraginaceae,CB
Bothriospermum kusnezowii,ÏÁ°ú°ßÖÖ²İ,5,7,5,7,Bothriospermum,Boraginaceae,CB
Bothriospermum secundum,¶à°ú°ßÖÖ²İ,5,7,NA,NA,Bothriospermum,Boraginaceae,CB
Bothriospermum zeylanicum,ÈáÈõ°ßÖÖ²İ,2,10,2,10,Bothriospermum,Boraginaceae,CB
Brachyelytrum japonicum,ÈÕ±¾¶ÌÓ±²İ,6,7,NA,NA,Brachyelytrum,Poaceae,CB
Brachypodium sylvaticum,¶Ì±ú²İ,7,9,7,9,Brachypodium,Poaceae,CB
Brasenia schreberi,İ»²Ë,6,6,10,11,NA,Cabombaceae,CB
Brassica juncea var. napiformis,½æ²Ë¸í´ñ,NA,NA,NA,NA,NA,Brassicaceae,CB
Bromus inermis,ÎŞÃ¢È¸Âó,7,9,7,9,Bromus,Poaceae,CB
Bromus japonicus,È¸Âó,NA,NA,NA,NA,NA,Poaceae,CB
Bromus remotiflorus,Êè»¨È¸Âó,6,7,6,7,Bromus,Poaceae,CB
Broussonetia kaempferi,ÆÏó´,4,6,5,7,Broussonetia,Moraceae,WD
Broussonetia kazinoki,èú,4,5,5,6,NA,Moraceae,WD
Broussonetia papyrifera,¹¹Ê÷,4,5,6,7,NA,Moraceae,WD
Buddleja davidii,´óÒ¶×íÓã²İ,5,10,9,12,NA,Loganiaceae,WD
Buddleja lindleyana,×íÓã²İ,4,10,8,12,NA,Loganiaceae,WD
