scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,NA,Fabaceae,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Abelia,Caprifoliaceae,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,NA,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,8,10,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,NA,Malvaceae,CB
Acacia delavayi,¹âÒ¶½ğºÏ»¶,7,7,9,9,NA,Fabaceae,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,4,6,7,12,NA,Fabaceae,WD
Acacia vietnamensis,Ô½ÄÏ½ğºÏ»¶,4,7,6,12,NA,Fabaceae,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,NA,Euphorbiaceae,CB
Acer acutum,Èñ½Ç·ã,4,5,6,9,NA,Aceraceae,WD
Acer amplum,À«Ò¶éÊ,4,4,6,9,Acer,Aceraceae,WD
Acer amplum subsp. catalpifolium,ÕÁÒ¶éÊ,4.1,4.1,8,9,NA,Aceraceae,WD
Acer amplum subsp. tientaiense,ÌìÌ¨À«Ò¶·ã,4,4,9,9,NA,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,4,4,8,8,NA,Aceraceae,WD
Acer buergerianum var. jiujiangense,´ó½­Èı½Ç·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer cordatum,×Ï¹ûéÊ,4.21,4.3,9,9,Acer,Aceraceae,WD
Acer cordatum var. dimorphifolium,Á½ĞÍÒ¶×Ï¹û·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer duplicatoserratum,ÖØ³İ·ã,3,3,8,8,NA,Aceraceae,WD
Acer duplicatoserratum var. chinense,ÖĞ»ªÖØ³İ·ã,5,5,9,9,NA,Aceraceae,WD
Acer elegantulum,ĞãÀöéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer fabri,ÂŞ¸¡éÊ,3,4,9,10,Acer,Aceraceae,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,10,10,NA,Aceraceae,WD
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,9,NA,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,NA,Aceraceae,WD
Acer linganense,ÁÙ°²éÊ,4,5,6,9,Acer,Aceraceae,WD
Acer longipes,³¤±úéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer lucidum,ÁÁÒ¶éÊ,3.2,4.1,8,9,Acer,Aceraceae,WD
Acer maximowiczianum,Ã«¹ûéÊ,4,4,9,9,NA,Aceraceae,WD
Acer metcalfii,ÄÏÁëéÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer oblongum,·É¶êéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,NA,Aceraceae,WD
Acer palmatum,¼¦×¦éÊ,5,5,9,9,NA,Aceraceae,WD
Acer pauciflorum,Ï¡»¨éÊ,5,5,9,9,Acer,Aceraceae,WD
