scientific name,genus name,family name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Abelia biflora,NA,Caprifoliaceae,ÁùµÀÄ¾,4,6,8,9,WD
Acer barbinerve,Acer,Aceraceae,÷ÚÂöéÊ,4,4,8,9,WD
Acer mandshuricum,Acer,Aceraceae,¶«±±éÊ,6,6,9,9,WD
Acer pictum subsp. mono,NA,Aceraceae,Îå½Ç·ã,4,5,9,9,WD
Acer pinnatinervium,NA,Aceraceae,éªÒ¶·ã,8,10,12,2,WD
Acer pseudosieboldianum,NA,Aceraceae,×Ï»¨éÊ,5,6,9,9,WD
Acer tegmentosum,Acer,Aceraceae,Çà¿¬éÊ,4,4,9,9,WD
Acer triflorum,Acer,Aceraceae,Èı»¨éÊ,4,4,9,9,WD
Acer truncatum,NA,Aceraceae,Ôª±¦éÊ,4,4,8,8,WD
Acer tschonoskii subsp. koreanum,NA,Aceraceae,Ğ¡¿¬éÊ,NA,NA,NA,NA,WD
Achillea acuminata,NA,Asteraceae,³İÒ¶İé,7,8,7,8,CB
Achillea ptarmicoides,Achillea,Asteraceae,¶Ì°êİé,7,9,7,9,CB
Achnatherum breviaristatum,Achnatherum,Poaceae,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,CB
Achnatherum pekinense,NA,Poaceae,¾©Ã¢²İ,6,8,6,8,CB
Achnatherum pubicalyx,NA,Poaceae,Ã«Ó±Ü¸Ü¸²İ,7,8,7,8,CB
Achnatherum sibiricum,NA,Poaceae,ÓğÃ©,6,9,6,9,CB
Achnatherum splendens,NA,Poaceae,Ü¸Ü¸²İ,5,7,5,7,CB
Aconitum alboviolaceum,Aconitum,Ranunculaceae,Á½É«ÎÚÍ·,8,9,NA,NA,CB
Aconitum ambiguum,Aconitum,Ranunculaceae,ĞË°²ÎÚÍ·,8,8,NA,NA,CB
Aconitum barbatum var. hispidum,NA,Ranunculaceae,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,CB
Aconitum coreanum,NA,Ranunculaceae,»Æ»¨ÎÚÍ·,8,9,9,9,CB
Aconitum dunhuaense,Aconitum,Ranunculaceae,¶Ø»¯ÎÚÍ·,8,8,NA,NA,CB
Aconitum fischeri,NA,Ranunculaceae,±¡Ò¶ÎÚÍ·,8,8,NA,NA,CB
Aconitum fischeri var. arcuatum,NA,Ranunculaceae,ÍäÖ¦ÎÚÍ·,NA,NA,NA,NA,CB
Aconitum fusungense,Aconitum,Ranunculaceae,¸§ËÉÎÚÍ·,7,8,NA,NA,CB
Aconitum jaluense,Aconitum,Ranunculaceae,Ñ¼ÂÌÎÚÍ·,9,9,NA,NA,CB
Aconitum jaluense var. glabrescens,NA,Ranunculaceae,¹â¹£Ñ¼ÂÌÎÚÍ·,NA,NA,NA,NA,CB
Aconitum jaluense var. truncatum,NA,Ranunculaceae,½Ø»ùÑ¼ÂÌÎÚÍ·,NA,NA,NA,NA,CB
Aconitum kirinense,Aconitum,Ranunculaceae,¼ªÁÖÎÚÍ·,7,8,9,9,CB
Aconitum kusnezoffii,Aconitum,Ranunculaceae,±±ÎÚÍ·,7,9,NA,NA,CB
