scientific name,Chinese name,genus name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Abelia biflora,ÁùµÀÄ¾,NA,Caprifoliaceae,5,5,7,7,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,Abelia,Caprifoliaceae,4,6,8,9,WD
Acer barbinerve,÷ÚÂöéÊ,Acer,Aceraceae,5,6,9,9,WD
Acer mandshuricum,¶«±±éÊ,Acer,Aceraceae,5,6,9,9,WD
Acer pictum subsp. mono,Îå½Ç·ã,NA,Aceraceae,4,5,9,9,WD
Acer pseudosieboldianum,×Ï»¨éÊ,NA,Aceraceae,5,6,9,9,WD
Acer tegmentosum,Çà¿¬éÊ,Acer,Aceraceae,5,5,9,9,WD
Acer triflorum,Èı»¨éÊ,Acer,Aceraceae,4,4,9,9,WD
Acer truncatum,Ôª±¦éÊ,NA,Aceraceae,4,4,8,8,WD
Acer tschonoskii subsp. koreanum,Ğ¡¿¬éÊ,NA,Aceraceae,NA,NA,NA,NA,WD
Achillea asiatica,ÑÇÖŞİé,Achillea,Asteraceae,7,8,8,9,CB
Achillea ptarmicoides,¶Ì°êİé,Achillea,Asteraceae,7,9,7,9,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,NA,Poaceae,5,8,5,8,CB
Achnatherum pekinense,¾©Ã¢²İ,NA,Poaceae,7,10,7,10,CB
Achnatherum sibiricum,ÓğÃ©,NA,Poaceae,6,9,6,9,CB
Aconitum alboviolaceum,Á½É«ÎÚÍ·,Aconitum,Ranunculaceae,8,9,NA,NA,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aconitum barbatum var. puberulum,Å£±â,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aconitum carmichaelii,ÎÚÍ·,NA,Ranunculaceae,7,10,NA,NA,CB
Aconitum carmichaelii var. truppelianum,Õ¹Ã«ÎÚÍ·,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aconitum coreanum,»Æ»¨ÎÚÍ·,NA,Ranunculaceae,8,9,9,10,CB
Aconitum fischeri,±¡Ò¶ÎÚÍ·,NA,Ranunculaceae,8,8,NA,NA,CB
Aconitum jaluense,Ñ¼ÂÌÎÚÍ·,Aconitum,Ranunculaceae,9,9,NA,NA,CB
Aconitum jaluense var. glabrescens,¹â¹£Ñ¼ÂÌÎÚÍ·,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aconitum jeholense var. angustius,»ª±±ÎÚÍ·,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aconitum kirinense,¼ªÁÖÎÚÍ·,Aconitum,Ranunculaceae,7,8,9,9,CB
Aconitum kusnezoffii,±±ÎÚÍ·,Aconitum,Ranunculaceae,7,9,NA,NA,CB
Aconitum kusnezoffii var. gibbiferum,¿íÁÑ±±ÎÚÍ·,NA,Ranunculaceae,NA,NA,NA,NA,CB
Aconitum longecassidatum,¸ßÃ±ÎÚÍ·,NA,Ranunculaceae,9,9,NA,NA,CB
Aconitum monanthum,¸ßÉ½ÎÚÍ·,Aconitum,Ranunculaceae,7,7,7,8,CB
Aconitum paniculigerum,Ô²×¶ÎÚÍ·,Aconitum,Ranunculaceae,8,9,NA,NA,CB
Aconitum sczukinii,¿íÒ¶ÂûÎÚÍ·,NA,Ranunculaceae,8,9,NA,NA,CB
Aconitum volubile,ÂûÎÚÍ·,Aconitum,Ranunculaceae,8,9,9,10,CB
Aconitum volubile var. pubescens,¾íÃ«ÂûÎÚÍ·,NA,Ranunculaceae,NA,NA,NA,NA,CB
Acorus calamus,İÅÆÑ,Acorus,Araceae,5,6,6,7,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,Actaea,Ranunculaceae,5,6,7,9,CB
Actaea erythrocarpa,ºì¹ûÀàÒ¶ÉıÂé,NA,Ranunculaceae,5,6,7,8,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,NA,Actinidiaceae,6,7,8,9,WD
Actinidia kolomikta,¹·Ôæâ¨ºïÌÒ,Actinidia,Actinidiaceae,5,7,9,10,WD
Actinidia polygama,¸ğÔæâ¨ºïÌÒ,NA,Actinidiaceae,6,7,9,10,WD
Actinostemma tenerum,ºĞ×Ó²İ,NA,Cucurbitaceae,7,9,9,11,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,Adenocaulon,Asteraceae,7,8,8,10,CB
Adenophora divaricata,Õ¹Ö¦É³²Î,Adenophora,Campanulaceae,8,9,9,10,CB
Adenophora elata,ÏÁ³¤»¨É³²Î,NA,Campanulaceae,7,9,9,9,CB
Adenophora gmelinii,ÏÁÒ¶É³²Î,Adenophora,Campanulaceae,7,8,9,9,CB
Adenophora liliifolia,ĞÂ½®É³²Î,Adenophora,Campanulaceae,7,8,NA,NA,CB
Adenophora pereskiifolia,³¤°×É³²Î,Adenophora,Campanulaceae,7,8,8,9,CB
Adenophora pinifolia,ËÉÒ¶É³²Î,NA,Campanulaceae,7,8,NA,NA,CB
Adenophora polyantha,¹âİàÉ³²Î,Adenophora,Campanulaceae,8,9,9,10,CB
Adenophora polyantha subsp. scabricalyx,Ê¯É³²Î,NA,Campanulaceae,8,10,8,10,CB
Adenophora potaninii subsp. wawreana,¶àÆçÉ³²Î,NA,Campanulaceae,NA,NA,NA,NA,CB
Adenophora remotiflora,±¡Ò¶ÜùÆs,Adenophora,Campanulaceae,7,8,9,10,CB
Adenophora stenanthina,³¤ÖùÉ³²Î,Adenophora,Campanulaceae,8,9,9,10,CB
Adenophora stenophylla,É¨ÖãÉ³²Î,Adenophora,Campanulaceae,7,9,9,9,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,NA,Campanulaceae,7,8,8,9,CB
Adenophora trachelioides,ÜùÆs,NA,Campanulaceae,7,8,9,10,CB
Adenophora tricuspidata,¾â³İÉ³²Î,NA,Campanulaceae,7,9,NA,NA,CB
Adonis amurensis,²à½ğÕµ»¨,NA,Ranunculaceae,4,5,5,6,CB
Adonis ramosa,ÁÉ¼ª²à½ğÕµ»¨,Adonis,Ranunculaceae,3,4,NA,NA,CB
Adoxa moschatellina,Îå¸£»¨,Adoxa,Adoxaceae,4,6,5,7,CB
Aegopodium alpestre,¶«±±Ñò½ÇÇÛ,NA,Apiaceae,5,7,7,8,CB
Aeluropus sinensis,â¯Ã«,NA,Poaceae,6,8,6,8,CB
Agastache rugosa,Ş½Ïã,NA,Lamiaceae,7,10,7,10,CB
Agrimonia coreana,ÍĞÒ¶ÁúÑ¿²İ,Agrimonia,Rosaceae,7,8,7,8,CB
Agrimonia pilosa,ÁúÑ¿²İ,Agrimonia,Rosaceae,7,9,8,10,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,Rosaceae,NA,NA,NA,NA,CB
Agriophyllum squarrosum,É³Åî,Agriophyllum,Chenopodiaceae,8,10,8,10,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,NA,Poaceae,6,8,6,8,CB
Agrostis divaricatissima,ÆçĞò¼ô¹ÉÓ±,Agrostis,Poaceae,7,8,7,8,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,NA,Poaceae,6,11,6,11,CB
Agrostis stolonifera,Î÷²®ÀûÑÇ¼ô¹ÉÓ±,Agrostis,Poaceae,8,8,6,8,CB
Ailanthus altissima,³ô´»,Ailanthus,Simaroubaceae,6,6,9,10,WD
Ainsliaea acerifolia,éÊÒ¶ÍÃ¶ù·ç,NA,Asteraceae,NA,NA,NA,NA,CB
Ajuga linearifolia,ÏßÒ¶½î¹Ç²İ,Ajuga,Lamiaceae,5,5,5,10,CB
Ajuga multiflora var. brevispicata,¶à»¨½î¹Ç²İ¶ÌËë±äÖÖ,NA,Lamiaceae,NA,NA,NA,NA,CB
Alangium platanifolium var. trilobum,ÈıÁÑ¹ÏÄ¾,NA,Alangiaceae,3,6,7,9,WD
Alcea rosea,Êñ¿û,NA,Malvaceae,2,8,NA,NA,CB
Alisma gramineum,²İÔóĞº,NA,Alismataceae,8,8,9,9,CB
Alisma orientale,¶«·½ÔóĞº,NA,Alismataceae,7,8,8,9,CB
Allium anisopodium,°«¾Â,Allium,Liliaceae,7,9,7,9,CB
