scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia biflora,ÁùµÀÄ¾,4,5,8,9,NA,Caprifoliaceae,WD
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer pictum subsp. mono,Îå½Ç·ã,5,5,9,9,NA,Aceraceae,WD
Acer pilosum var. stenolobum,Ï¸ÁÑéÊ,4,4,9,9,NA,Aceraceae,WD
Acer tataricum subsp. ginnala,²èÌõ·ã,5,6,9,9,NA,Aceraceae,WD
Acer tegmentosum,Çà¿¬éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,6.5,6.5,9,9,NA,Aceraceae,WD
Achillea acuminata,³İÒ¶İé,6,9,6,9,NA,Asteraceae,CB
Achillea asiatica,ÑÇÖŞİé,7,8,8,9,Achillea,Asteraceae,CB
Achillea ptarmicoides,¶Ì°êİé,7,9,7,9,Achillea,Asteraceae,CB
Achillea setacea,Ë¿Ò¶İé,7,8,7,8,NA,Asteraceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,NA,NA,NA,NA,NA,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum saposhnikovii,¶Û»ù²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,9,6,9,NA,Poaceae,CB
Aconitum ambiguum,ĞË°²ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum bailangense,°×ÀÇÎÚÍ·,7,9,7,9,NA,Ranunculaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,7,8,8,9,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. puberulum,Å£±â,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum carmichaelii,ÎÚÍ·,9,10,NA,NA,NA,Ranunculaceae,CB
Aconitum coreanum,»Æ»¨ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum daxinganlinense,´óĞË°²ÁëÎÚÍ·,7,8,8,8,NA,Ranunculaceae,CB
Aconitum fischeri,±¡Ò¶ÎÚÍ·,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum fischeri var. arcuatum,ÍäÖ¦ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum flavum,·üÃ«Ìú°ô´¸,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum jeholense,ÈÈºÓÎÚÍ·,8,8,9,9,NA,Ranunculaceae,CB
Aconitum jeholense var. angustius,»ª±±ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum kusnezoffii,±±ÎÚÍ·,7,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum leucostomum var. hopeiense,ºÓ±±°×ºíÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum macrorhynchum,Ï¸Ò¶ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum paniculigerum var. wulingense,ÊèÃ«Ô²×¶ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum ranunculoides,Ã«İ¢Ò¶ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum septentrionale,×Ï»¨¸ßÎÚÍ·,7,8,NA,NA,NA,Ranunculaceae,CB
Aconitum smithii,É½Î÷ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum soongaricum,×¼¸Á¶ûÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
