scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,6,6,7,8,Abelia,Caprifoliaceae,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abutilon theophrasti,ÜÜÂé,7,8,9,10,NA,Malvaceae,CB
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer barbinerve,÷ÚÂöéÊ,4,4,8,9,Acer,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,6,6,7,9,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,6,6,7,8,Acer,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,5,5,6,7,Acer,Aceraceae,WD
Acer maximowiczii,Îå¼âéÊ,6,6,7,8,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,6,6,7,8,NA,Aceraceae,WD
Acer pictum subsp. tricuspis,Èı¼âÉ«Ä¾·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer pilosum var. stenolobum,Ï¸ÁÑéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer shenkanense,ÉÂ¸ÊéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. tetramerum,ËÄÈïéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,5,5,6,8,NA,Aceraceae,WD
Achillea acuminata,³İÒ¶İé,7,7,8,8,NA,Asteraceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,NA,NA,NA,NA,NA,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,7,8,7,8,NA,Poaceae,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum saposhnikovii,¶Û»ù²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,6,9,6,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,8,6,8,NA,Poaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,6,7,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. puberulum,Å£±â,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum flavum,·üÃ«Ìú°ô´¸,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum gymnandrum,Â¶ÈïÎÚÍ·,7,7,8,8,Aconitum,Ranunculaceae,CB
Aconitum henryi,´¨¶õÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum leucostomum,°×ºíÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum scaposum,»¨İãÎÚÍ·,8,9,9,9,Aconitum,Ranunculaceae,CB
Aconitum sinomontanum,¸ßÎÚÍ·,7,7,NA,NA,Aconitum,Ranunculaceae,CB
Acroptilon repens,ÏîÓğ¾Õ,6,7,7,8,NA,Asteraceae,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,5,6,7,8,Actaea,Ranunculaceae,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,6,7,8,8,NA,Actinidiaceae,WD
Actinidia tetramera,ËÄİàâ¨ºïÌÒ,6,6,8,8,NA,Actinidiaceae,WD
Adenophora liliifolioides,´¨²ØÉ³²Î,7,9,9,10,NA,Campanulaceae,CB
Adenophora ningxianica,ÄşÏÄÉ³²Î,7,8,9,9,Adenophora,Campanulaceae,CB
Adenophora polyantha,¹âİàÉ³²Î,7,8,9,9,Adenophora,Campanulaceae,CB
Adenophora polyantha subsp. scabricalyx,Ê¯É³²Î,8,10,8,10,NA,Campanulaceae,CB
Adenophora potaninii,ÅİÉ³²Î,8,9,9,10,Adenophora,Campanulaceae,CB
Adenophora stenanthina,³¤ÖùÉ³²Î,7,8,8,9,Adenophora,Campanulaceae,CB
Adonis bobroviana,¸ÊÇà²à½ğÕµ»¨,4,7,NA,NA,Adonis,Ranunculaceae,CB
Aeluropus sinensis,â¯Ã«,5,8,5,8,NA,Poaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,7,7,8,9,Agrimonia,Rosaceae,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,NA,Rosaceae,CB
Agriophyllum squarrosum,É³Åî,8,10,8,10,Agriophyllum,Chenopodiaceae,CB
Agropyron desertorum,É³Éú±ù²İ,6,8,6,8,NA,Poaceae,CB
Agropyron desertorum var. pilosiusculum,Ã«É³Éú±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agropyron michnoi,¸ù¾¥±ù²İ,7,9,7,9,NA,Poaceae,CB
Agropyron mongolicum,É³Â«²İ,7,8,7,8,NA,Poaceae,CB
Agrostis arisan-montana,°¢ÀïÉ½¼ô¹ÉÓ±,NA,NA,7,7,NA,Poaceae,CB
Agrostis capillaris,Ï¸Èõ¼ô¹ÉÓ±,6,9,6,9,NA,Poaceae,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,6,9,6,9,NA,Poaceae,CB
Agrostis hugoniana,¸ÊËà¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Agrostis stolonifera,Î÷²®ÀûÑÇ¼ô¹ÉÓ±,8,8,NA,NA,Agrostis,Poaceae,CB
Ailanthus altissima,³ô´»,4,5,8,10,Ailanthus,Simaroubaceae,WD
Ajania achilloides,İé×´ÑÇ¾Õ,8,9,8,9,Ajania,Asteraceae,WD
Ajania fruticulosa,¹àÄ¾ÑÇ¾Õ,7,9,7,9,Ajania,Asteraceae,WD
Ajania myriantha,¶à»¨ÑÇ¾Õ,7,10,7,10,Ajania,Asteraceae,CB
Ajania nematoloba,Ë¿ÁÑÑÇ¾Õ,9,10,9,10,Ajania,Asteraceae,WD
Ajania parviflora,ÊøÉ¡ÑÇ¾Õ,8,9,8,9,Ajania,Asteraceae,WD
Ajania przewalskii,Ï¸ÁÑÑÇ¾Õ,7,9,7,9,NA,Asteraceae,CB
Ajania salicifolia,ÁøÒ¶ÑÇ¾Õ,6,9,6,9,Ajania,Asteraceae,WD
Ajania tenuifolia,Ï¸Ò¶ÑÇ¾Õ,7,8,NA,NA,Ajania,Asteraceae,CB
Ajuga ciliata,½î¹Ç²İ,5,6,6,7,Ajuga,Lamiaceae,CB
Alcea rosea,Êñ¿û,5,9,5,9,NA,Malvaceae,CB
Alisma gramineum,²İÔóĞº,6,7,8,8,NA,Alismataceae,CB
Alisma orientale,¶«·½ÔóĞº,6,7,8,8,NA,Alismataceae,CB
Allium anisopodium,°«¾Â,7,8,7,9,Allium,Liliaceae,CB
Allium anisopodium var. zimmermannianum,²Úİã¾Â,6,9,6,9,NA,Liliaceae,CB
Allium bidentatum,É°¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium cepa var. proliferum,Â¥×Ó´Ğ,NA,NA,NA,NA,NA,Liliaceae,CB
Allium chinense,ËŠÍ·,10,11,10,11,NA,Liliaceae,CB
Allium cyaneum,ÌìÀ¶¾Â,8,9,8,10,Allium,Liliaceae,CB
Allium dentigerum,¶Ì³İ¾Â,8,8,NA,NA,Allium,Liliaceae,CB
Allium listera,¶ÔÒ¶É½´Ğ,6,8,6,8,NA,Liliaceae,CB
Allium mongolicum,ÃÉ¹Å¾Â,7,7,NA,NA,NA,Liliaceae,CB
Allium plurifoliatum,¶àÒ¶¾Â,7,10,7,10,Allium,Liliaceae,CB
Allium polyrhizum,¼î¾Â,7,7,NA,NA,NA,Liliaceae,CB
Allium przewalskianum,Çà¸Ê¾Â,7,8,NA,NA,NA,Liliaceae,CB
Allium ramosum,Ò°¾Â,7,7,NA,NA,NA,Liliaceae,CB
Allium sikkimense,¸ßÉ½¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium strictum,»Ô¾Â,6,6,NA,NA,NA,Liliaceae,CB
Allium tenuissimum,Ï¸Ò¶¾Â,7,9,7,9,Allium,Liliaceae,CB
Allium tuberosum,¾Â,7,9,7,9,NA,Liliaceae,CB
Allium victorialis,ÆŒ´Ğ,7,9,7,9,Allium,Liliaceae,CB
Allium yanchiense,°×»¨Ş¯,7,7,8,9,Allium,Liliaceae,CB
Alopecurus arundinaceus,Î­×´¿´ÂóÄï,6,8,6,8,Alopecurus,Poaceae,CB
Alyssum canescens,»ÒÃ«Í¥Üù,6,9,7,10,NA,Brassicaceae,CB
Amethystea caerulea,Ë®¼¬Õë,8,9,9,10,Amethystea,Lamiaceae,CB
Ammopiptanthus mongolicus,É³¶¬Çà,4,5,5,6,NA,Fabaceae,WD
Ammopiptanthus nanus,Ğ¡É³¶¬Çà,NA,NA,NA,NA,NA,Fabaceae,WD
Ampelopsis aconitifolia,ÎÚÍ·Ò¶ÉßÆÏÌÑ,6,6,7,7,Ampelopsis,Vitaceae,WD
Ampelopsis delavayana var. glabra,ÕÆÁÑÉßÆÏÌÑ,5,6,7,9,NA,Vitaceae,WD
Amygdalus davidiana,É½ÌÒ,4,4,7,8,NA,Rosaceae,WD
Amygdalus kansuensis,¸ÊËàÌÒ,3,4,8,9,Amygdalus,Rosaceae,WD
Amygdalus mongolica,ÃÉ¹Å±âÌÒ,5,5,8,8,Amygdalus,Rosaceae,WD
Amygdalus persica,ÌÒ,4,4,7,9,NA,Rosaceae,WD
Amygdalus triloba,ÓÜÒ¶Ã·,4,4,5,7,NA,Rosaceae,WD
Anabasis brevifolia,¶ÌÒ¶¼ÙÄ¾Ôô,7,8,9,9,Anabasis,Chenopodiaceae,WD
Anaphalis aureopunctata,»ÆÏÙÏãÇà,7,8,8,9,NA,Asteraceae,CB
Anaphalis aureopunctata var. plantaginifolia,»ÆÏÙÏãÇà³µÇ°Ò¶±äÖÖ,NA,NA,NA,NA,NA,Asteraceae,CB
Anaphalis hancockii,ÁåÁåÏãÇà,7,8,8,9,Anaphalis,Asteraceae,CB
