scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. tetramerum,ËÄÈïéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Achillea acuminata,³İÒ¶İé,7,8,7,8,NA,Asteraceae,CB
Achnatherum brandisii,Õ¹ĞòÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,5,7,5,7,NA,Poaceae,CB
Achnatherum chingii,Ï¸Ò¶Ü¸Ü¸²İ,7,9,7,9,Achnatherum,Poaceae,CB
Achnatherum duthiei,²ØÜ¸Ü¸²İ,8,9,8,9,NA,Poaceae,CB
Achnatherum inaequiglume,ÒìÓ±Ü¸Ü¸²İ,7,9,7,9,Achnatherum,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum psilantherum,¹âÒ©Ü¸Ü¸²İ,6,9,6,9,Achnatherum,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,8,9,8,9,NA,Poaceae,CB
Achnatherum saposhnikovii,¶Û»ù²İ,8,9,8,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,9,6,9,NA,Poaceae,CB
Acomastylis elata,ÓğÒ¶»¨,6,8,6,8,Acomastylis,Rosaceae,CB
Acomastylis elata var. humilis,°«ÉúÓğÒ¶»¨,6,8,6,8,NA,Rosaceae,CB
Aconitum abietetorum,ÀäÉ¼ÁÖÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum brunneum,ºÖ×ÏÎÚÍ·,7,8,8,9,Aconitum,Ranunculaceae,CB
Aconitum chilienshanicum,ÆîÁ¬É½ÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum flavum,·üÃ«Ìú°ô´¸,6,8,NA,NA,NA,Ranunculaceae,CB
Aconitum fletcheranum,¶À»¨ÎÚÍ·,7,10,NA,NA,NA,Ranunculaceae,CB
Aconitum gymnandrum,Â¶ÈïÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum hemsleyanum,¹ÏÒ¶ÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum henryi,´¨¶õÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum leucostomum,°×ºíÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum pendulum,Ìú°ô´¸,7,8,NA,NA,NA,Ranunculaceae,CB
Aconitum refractum,ÏÁÁÑÎÚÍ·,9,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum sinomontanum,¸ßÎÚÍ·,7,8,8,9,Aconitum,Ranunculaceae,CB
Aconitum tanguticum,¸ÊÇàÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Acorus,Araceae,CB
Acorus gramineus,½ğÇ®ÆÑ,2,7,7,8,NA,Araceae,CB
Acronema chienii,ÌõÒ¶Ë¿°êÇÛ,6,7,8,9,Acronema,Apiaceae,CB
Acronema chinense,¼â°êÇÛ,7,7,8,9,Acronema,Apiaceae,CB
Acronema chinense var. humile,°«¼â°êÇÛ,NA,NA,9,9,NA,Apiaceae,CB
Acronema sichuanense,ËÄ´¨Ë¿°êÇÛ,6,9,6,9,Acronema,Apiaceae,CB
Acroptilon repens,ÏîÓğ¾Õ,6,10,6,10,NA,Asteraceae,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,7,9,7,9,Actaea,Ranunculaceae,CB
Actinidia tetramera,ËÄİàâ¨ºïÌÒ,5,6,8,8,NA,Actinidiaceae,WD
Actinocarya tibetica,Ãª´Ì¹û,7,9,7,9,Actinocarya,Boraginaceae,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,8,9,8,9,Adenocaulon,Asteraceae,CB
Adenophora himalayana,Ï²ÂíÀ­ÑÅÉ³²Î,7,8,7,8,Adenophora,Campanulaceae,CB
Adenophora himalayana subsp. alpina,¸ßÉ½É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora liliifolioides,´¨²ØÉ³²Î,8,9,8,9,NA,Campanulaceae,CB
Adenophora ningxianica,ÄşÏÄÉ³²Î,7,8,9,9,Adenophora,Campanulaceae,CB
Adenophora potaninii,ÅİÉ³²Î,7,10,10,11,Adenophora,Campanulaceae,CB
Adenophora stenanthina,³¤ÖùÉ³²Î,8,9,NA,NA,Adenophora,Campanulaceae,CB
Adenophora stenanthina subsp. sylvatica,ÁÖÉ³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adonis bobroviana,¸ÊÇà²à½ğÕµ»¨,5,8,5,8,Adonis,Ranunculaceae,CB
Adonis coerulea,À¶²à½ğÕµ»¨,5,6,NA,NA,Adonis,Ranunculaceae,CB
Adonis sibirica,±±²à½ğÕµ»¨,6,6,NA,NA,NA,Ranunculaceae,CB
Adoxa moschatellina,Îå¸£»¨,6,8,6,8,Adoxa,Adoxaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,6,9,6,9,Agrimonia,Rosaceae,CB
Agriophyllum lateriflorum,²à»¨É³Åî,6,9,7,9,Agriophyllum,Chenopodiaceae,CB
Agriophyllum squarrosum,É³Åî,8,10,8,10,Agriophyllum,Chenopodiaceae,CB
Agropyron cristatum var. pectinatum,¹âËë±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agropyron desertorum,É³Éú±ù²İ,6,8,6,8,NA,Poaceae,CB
Agropyron desertorum var. pilosiusculum,Ã«É³Éú±ù²İ,7,7,NA,NA,NA,Poaceae,CB
Agropyron michnoi,¸ù¾¥±ù²İ,7,9,7,9,NA,Poaceae,CB
Agropyron sibiricum,Î÷²®ÀûÑÇ±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,7,9,7,9,NA,Poaceae,CB
Agrostis hookeriana,Êè»¨¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Agrostis hugoniana,¸ÊËà¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Agrostis micrantha,¶à»¨¼ô¹ÉÓ±,7,9,7,9,Agrostis,Poaceae,CB
Agrostis nervosa,ãòË®¼ô¹ÉÓ±,6,8,NA,NA,NA,Poaceae,CB
Agrostis pilosula,ÈáÃ«¼ô¹ÉÓ±,8,8,NA,NA,Agrostis,Poaceae,CB
Agrostis sinorupestris,ÑÒÉú¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostis vinealis,Ã¢¼ô¹ÉÓ±,8,9,8,9,Agrostis,Poaceae,CB
Ailanthus altissima,³ô´»,6,7,9,10,Ailanthus,Simaroubaceae,WD
Ailanthus altissima var. tanakai,Ì¨Íå³ô´»,NA,NA,NA,NA,NA,Simaroubaceae,WD
Ajania achilloides,İé×´ÑÇ¾Õ,8,8,NA,NA,Ajania,Asteraceae,WD
Ajania fastigiata,ĞÂ½®ÑÇ¾Õ,8,10,8,10,Ajania,Asteraceae,CB
