scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia biflora,ÁùµÀÄ¾,3,4,8,9,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,5,8,9,Abelia,Caprifoliaceae,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,NA,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,7,8,9,10,NA,Malvaceae,CB
Acalypha acmophylla,Î²Ò¶ÌúÜÈ²Ë,4,8,9,10,NA,Euphorbiaceae,WD
Acalypha mairei,Ã«Ò¶ÌúÜÈ²Ë,3,8,7,9,Acalypha,Euphorbiaceae,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,NA,Euphorbiaceae,CB
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer barbinerve,÷ÚÂöéÊ,4,4,8,9,Acer,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,5,5,9,10,NA,Aceraceae,WD
Acer buergerianum var. kaiscianense,½çÉ½Èı½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,5,6,9,9,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,5,6,7,8,Acer,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,5,5,6,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer erianthum,Ã«»¨éÊ,5,6,9,9,Acer,Aceraceae,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,10,10,NA,Aceraceae,WD
Acer forrestii,Àö½­éÊ,5,5,9,9,NA,Aceraceae,WD
Acer fulvescens,»ÆÃ«éÊ,4,4,8,8,NA,Aceraceae,WD
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,9,NA,Aceraceae,WD
Acer griseum,ÑªÆ¤éÊ,4,4,7,7,Acer,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,6,6,Acer,Aceraceae,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,NA,Aceraceae,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,NA,Aceraceae,WD
Acer linganense,ÁÙ°²éÊ,4,5,9,9,Acer,Aceraceae,WD
Acer longipes,³¤±úéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer mandshuricum,¶«±±éÊ,6,6,9,9,Acer,Aceraceae,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,NA,Aceraceae,WD
Acer miaotaiense,ÃíÌ¨éÊ,5,5,9,9,NA,Aceraceae,WD
Acer oblongum,·É¶êéÊ,4,9,7,9,Acer,Aceraceae,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,6,7,NA,Aceraceae,WD
Acer palmatum,¼¦×¦éÊ,5,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. macropterum,´ó³áÉ«Ä¾éÊ,4,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. tricuspis,Èı¼âÉ«Ä¾·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pilosum,ÊèÃ«éÊ,4,5,7,8,Acer,Aceraceae,WD
Acer pilosum var. stenolobum,Ï¸ÁÑéÊ,4,4,9,9,NA,Aceraceae,WD
Acer robustum,è¾Ò¶éÊ,4,5,7,7,NA,Aceraceae,WD
Acer shenkanense,ÉÂ¸ÊéÊ,4,5,NA,NA,NA,Aceraceae,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. tetramerum,ËÄÈïéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer sterculiaceum subsp. franchetii,·¿ÏØéÊ,5,5,9,9,NA,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Acer tsinglingense,ÇØÁë·ã,4,4,7,7,NA,Aceraceae,WD
Achillea acuminata,³İÒ¶İé,7,8,9,10,NA,Asteraceae,CB
Achillea wilsoniana,ÔÆÄÏİé,7,9,10,10,Achillea,Asteraceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,5,7,NA,NA,NA,Poaceae,CB
Achnatherum chingii,Ï¸Ò¶Ü¸Ü¸²İ,7,8,7,8,Achnatherum,Poaceae,CB
Achnatherum coreanum,´óÒ¶Ö±Ã¢²İ,8,10,8,10,NA,Poaceae,CB
Achnatherum henryi,ºş±±Ü¸Ü¸²İ,4,6,NA,NA,NA,Poaceae,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,7,7,NA,NA,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,7,9,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,6,9,9,NA,Poaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,9,9,11,11,NA,Amaranthaceae,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,11,11,12,12,Achyrospermum,Lamiaceae,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Achyrospermum,Lamiaceae,CB
Acomastylis elata,ÓğÒ¶»¨,6,8,6,8,Acomastylis,Rosaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,7,8,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. puberulum,Å£±â,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum cannabifolium,´óÂéÒ¶ÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum carmichaelii,ÎÚÍ·,9,10,10,10,NA,Ranunculaceae,CB
Aconitum carmichaelii var. truppelianum,Õ¹Ã«ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum flavum,·üÃ«Ìú°ô´¸,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum hemsleyanum,¹ÏÒ¶ÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum henryi,´¨¶õÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum kirinense,¼ªÁÖÎÚÍ·,8,8,9,9,Aconitum,Ranunculaceae,CB
Aconitum kirinense var. australe,Ã«¹û¼ªÁÖÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum kusnezoffii,±±ÎÚÍ·,7,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum pendulum,Ìú°ô´¸,7,9,NA,NA,NA,Ranunculaceae,CB
Aconitum scaposum,»¨İãÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum sczukinii,¿íÒ¶ÂûÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum sinomontanum,¸ßÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum taipeicum,Ì«°×ÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum tanguticum,¸ÊÇàÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum volubile,ÂûÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,4,9,NA,NA,Acorus,Araceae,CB
Acorus gramineus,½ğÇ®ÆÑ,6,7,NA,NA,NA,Araceae,CB
Acorus tatarinowii,Ê¯İÅÆÑ,2,6,2,6,NA,Araceae,CB
Acroglochin persicarioides,Ç§ÕëÜÈ,7,9,8,10,NA,Chenopodiaceae,CB
Acroptilon repens,ÏîÓğ¾Õ,5,9,5,9,NA,Asteraceae,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,5,6,7,9,Actaea,Ranunculaceae,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,6,7,9,9,NA,Actinidiaceae,WD
Actinidia arguta var. giraldii,ÉÂÎ÷â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,5,6,9,10,NA,Actinidiaceae,WD
Actinidia callosa var. henryi,¾©Àæâ¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia chengkouensis,³Ç¿Úâ¨ºïÌÒ,6,6,NA,NA,Actinidia,Actinidiaceae,WD
Actinidia chinensis var. deliciosa,ÃÀÎ¶â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
