scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia biflora,ÁùµÀÄ¾,NA,NA,8,9,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Abelia,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,8,10,NA,NA,NA,Malvaceae,CB
Acalypha australis,ÌúÜÈ²Ë,4,12,4,12,Acalypha,Euphorbiaceae,CB
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer griseum,ÑªÆ¤éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pictum subsp. tricuspis,Èı¼âÉ«Ä¾·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pilosum,ÊèÃ«éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer pilosum var. stenolobum,Ï¸ÁÑéÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer shenkanense,ÉÂ¸ÊéÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer tataricum subsp. ginnala,²èÌõ·ã,5,5,10,10,NA,Aceraceae,WD
Acer tegmentosum,Çà¿¬éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Acer tschonoskii subsp. koreanum,Ğ¡¿¬éÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Achillea ptarmicoides,¶Ì°êİé,7,9,7,9,Achillea,Asteraceae,CB
Achillea wilsoniana,ÔÆÄÏİé,7,9,7,9,Achillea,Asteraceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,5,7,5,7,NA,Poaceae,CB
Achnatherum chingii,Ï¸Ò¶Ü¸Ü¸²İ,7,8,7,8,Achnatherum,Poaceae,CB
Achnatherum nakaii,³¯ÑôÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum pubicalyx,Ã«Ó±Ü¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,9,6,9,NA,Poaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Aconitum alboviolaceum,Á½É«ÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. puberulum,Å£±â,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum cannabifolium,´óÂéÒ¶ÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum carmichaelii,ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum henryi,´¨¶õÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum jeholense,ÈÈºÓÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum jeholense var. angustius,»ª±±ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum kirinense var. australe,Ã«¹û¼ªÁÖÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum kusnezoffii,±±ÎÚÍ·,7,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum macrorhynchum,Ï¸Ò¶ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum ningwuense,ÄşÎäÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum pendulum,Ìú°ô´¸,7,9,NA,NA,NA,Ranunculaceae,CB
Aconitum sczukinii,¿íÒ¶ÂûÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum septentrionale,×Ï»¨¸ßÎÚÍ·,7,7,NA,NA,NA,Ranunculaceae,CB
Aconitum sinomontanum,¸ßÎÚÍ·,6,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum smithii,É½Î÷ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum soongaricum,×¼¸Á¶ûÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum volubile,ÂûÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,6,9,NA,NA,Acorus,Araceae,CB
Acroglochin persicarioides,Ç§ÕëÜÈ,6,11,6,11,NA,Chenopodiaceae,CB
Acroptilon repens,ÏîÓğ¾Õ,5,9,5,9,NA,Asteraceae,CB
Actaea asiatica,ÀàÒ¶ÉıÂé,5,6,7,9,Actaea,Ranunculaceae,CB
Actaea erythrocarpa,ºì¹ûÀàÒ¶ÉıÂé,5,6,7,8,NA,Ranunculaceae,CB
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia kolomikta,¹·Ôæâ¨ºïÌÒ,5,6,9,10,Actinidia,Actinidiaceae,WD
Adenocaulon himalaicum,ºÍÉĞ²Ë,6,11,6,11,Adenocaulon,Asteraceae,CB
Adenophora capillaria subsp. paniculata,Ï¸Ò¶É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora capillaris,Ë¿ÁÑÉ³²Î,7,8,NA,NA,NA,Campanulaceae,CB
Adenophora divaricata,Õ¹Ö¦É³²Î,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora elata,ÏÁ³¤»¨É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora gmelinii,ÏÁÒ¶É³²Î,7,9,8,10,Adenophora,Campanulaceae,CB
Adenophora gmelinii subsp. nystroemii,É½Î÷É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora liliifolia,ĞÂ½®É³²Î,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora petiolata,ÇØÁëÉ³²Î,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora petiolata subsp. hunanensis,ĞÓÒ¶É³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora polyantha,¹âİàÉ³²Î,8,10,NA,NA,Adenophora,Campanulaceae,CB
Adenophora polyantha subsp. scabricalyx,Ê¯É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora potaninii,ÅİÉ³²Î,7,10,10,11,Adenophora,Campanulaceae,CB
Adenophora potaninii subsp. wawreana,¶àÆçÉ³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora remotiflora,±¡Ò¶ÜùÆs,7,8,NA,NA,Adenophora,Campanulaceae,CB
Adenophora stenanthina,³¤ÖùÉ³²Î,8,9,NA,NA,Adenophora,Campanulaceae,CB
Adenophora stenophylla,É¨ÖãÉ³²Î,7,9,9,9,Adenophora,Campanulaceae,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,7,9,NA,NA,NA,Campanulaceae,CB
Adenophora trachelioides,ÜùÆs,7,9,NA,NA,NA,Campanulaceae,CB
Adonis davidii,¶ÌÖù²à½ğÕµ»¨,4,8,NA,NA,Adonis,Ranunculaceae,CB
Adoxa moschatellina,Îå¸£»¨,4,7,7,8,Adoxa,Adoxaceae,CB
Aeluropus sinensis,â¯Ã«,NA,NA,NA,NA,NA,Poaceae,CB
Agastache rugosa,Ş½Ïã,6,9,9,11,NA,Lamiaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Agrimonia,Rosaceae,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,NA,Rosaceae,CB
Agriophyllum squarrosum,É³Åî,8,10,8,10,Agriophyllum,Chenopodiaceae,CB
Agropyron desertorum,É³Éú±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agropyron mongolicum,É³Â«²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agrostis capillaris,Ï¸Èõ¼ô¹ÉÓ±,8,8,NA,NA,NA,Poaceae,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,NA,NA,NA,NA,NA,Poaceae,CB
Agrostis divaricatissima,ÆçĞò¼ô¹ÉÓ±,7,8,7,8,Agrostis,Poaceae,CB
Agrostis gigantea,¾ŞĞò¼ô¹ÉÓ±,NA,NA,NA,NA,NA,Poaceae,CB
Agrostis stolonifera,Î÷²®ÀûÑÇ¼ô¹ÉÓ±,8,8,NA,NA,Agrostis,Poaceae,CB
Ailanthus altissima,³ô´»,4,5,8,10,Ailanthus,Simaroubaceae,WD
Ailanthus altissima var. tanakai,Ì¨Íå³ô´»,NA,NA,NA,NA,NA,Simaroubaceae,WD
Ajania parviflora,ÊøÉ¡ÑÇ¾Õ,8,9,8,9,Ajania,Asteraceae,WD
Ajuga ciliata,½î¹Ç²İ,4,8,7,9,Ajuga,Lamiaceae,CB
