scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,NA,Fabaceae,WD
Abelia biflora,ÁùµÀÄ¾,3,5,8,9,NA,Caprifoliaceae,WD
Abelia buddleioides,×íÓã²İ×´ÁùµÀÄ¾,5,5,6,8,NA,Caprifoliaceae,WD
Abelia chinensis,Å´Ã×Ìõ,8,9,10,11,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Abelia,Caprifoliaceae,WD
Abelia forrestii,Ï¸ÊİÁùµÀÄ¾,6,9,10,10,Abelia,Caprifoliaceae,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abelia uniflora,¶ş³áÁùµÀÄ¾,4,6,8,10,NA,Caprifoliaceae,WD
Abelmoschus crinitus,³¤Ã«»Æ¿û,5,9,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot,»ÆÊñ¿û,8,10,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,NA,Malvaceae,CB
Abelmoschus muliensis,Ä¾ÀïÇï¿û,NA,NA,NA,NA,NA,Malvaceae,CB
Abelmoschus sagittifolius,¼ıÒ¶Çï¿û,5,9,NA,NA,Abelmoschus,Malvaceae,CB
Abutilon guineense var. forrestii,Ğ¡»¨Ä¥ÅÌ²İ,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon indicum,Ä¥ÅÌ²İ,7,10,NA,NA,Abutilon,Malvaceae,CB
Abutilon paniculatum,Ô²×¶ÜÜÂé,6,8,NA,NA,Abutilon,Malvaceae,WD
Abutilon roseum,ºì»¨ÜÜÂé,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon sinense,»ªÜÜÂé,1,5,NA,NA,Abutilon,Malvaceae,WD
Abutilon theophrasti,ÜÜÂé,7,8,NA,NA,NA,Malvaceae,CB
Acacia caesia,¼âÒ¶ÏàË¼,9,9,11,11,NA,Fabaceae,WD
Acacia delavayi,¹âÒ¶½ğºÏ»¶,7,7,9,9,NA,Fabaceae,WD
Acacia pennata,ÓğÒ¶½ğºÏ»¶,3,10,7,4,NA,Fabaceae,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,4,6,7,12,NA,Fabaceae,WD
Acacia teniana,ÎŞ´Ì½ğºÏ»¶,5,6,1,1,NA,Fabaceae,WD
Acacia yunnanensis,ÔÆÄÏÏàË¼Ê÷,5,5,NA,NA,Acacia,Fabaceae,WD
Acalypha acmophylla,Î²Ò¶ÌúÜÈ²Ë,4,8,NA,NA,NA,Euphorbiaceae,WD
Acalypha mairei,Ã«Ò¶ÌúÜÈ²Ë,3,8,7,8,Acalypha,Euphorbiaceae,WD
Acalypha schneideriana,Àö½­ÌúÜÈ²Ë,5,8,NA,NA,NA,Euphorbiaceae,WD
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,NA,Euphorbiaceae,CB
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acanthus ebracteatus,Ğ¡»¨ÀÏÊóº{,4,5,8,9,NA,Acanthaceae,WD
Acer amplum,À«Ò¶éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer amplum subsp. catalpifolium,ÕÁÒ¶éÊ,4,4,8,10,NA,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,4,4,8,8,NA,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,5,5,9,9,Acer,Aceraceae,WD
Acer campbellii,²ØÄÏéÊ,5,5,8,10,Acer,Aceraceae,WD
Acer campbellii var. serratifolium,Ã«³İ²ØÄÏ·ã,6,6,9,9,NA,Aceraceae,WD
Acer cappadocicum,ÇàÆ¤éÊ,4,4,8,8,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer chunii,ÈéÔ´·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer chunii subsp. dimorphophyllum,Á½ĞÍÒ¶ÈéÔ´·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer cordatum,×Ï¹ûéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer erianthum,Ã«»¨éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer fabri,ÂŞ¸¡éÊ,3,4,9,9,Acer,Aceraceae,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,10,10,NA,Aceraceae,WD
Acer forrestii,Àö½­éÊ,5,5,9,9,NA,Aceraceae,WD
Acer fulvescens,»ÆÃ«éÊ,4,4,8,8,NA,Aceraceae,WD
Acer gracilifolium,³¤Ò¶·ã,3,4,9,10,NA,Aceraceae,WD
Acer griseum,ÑªÆ¤éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,NA,Aceraceae,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,NA,Aceraceae,WD
Acer leipoense,À×²¨éÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer longipes,³¤±úéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer lucidum,ÁÁÒ¶éÊ,3.2,4.1,8,9,Acer,Aceraceae,WD
Acer maximowiczii,Îå¼âéÊ,5,5,9,9,NA,Aceraceae,WD
Acer oblongum,·É¶êéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer oblongum var. omeiense,¶ëÃ¼·É¶êéÊ,4,4,9,9,NA,Aceraceae,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,NA,Aceraceae,WD
Acer palmatum,¼¦×¦éÊ,5,5,9,9,NA,Aceraceae,WD
Acer paxii,½ğÉ³éÊ,3,3,8,9,Acer,Aceraceae,WD
Acer pectinatum,ó÷³İéÊ,4.2,4.2,9,9,Acer,Aceraceae,WD
Acer pectinatum subsp. taronense,¶ÀÁúéÊ,4,4,9,9,NA,Aceraceae,WD
Acer pentaphyllum,ÎåĞ¡Ò¶éÊ,4,4,9,9,NA,Aceraceae,WD
Acer pictum subsp. macropterum,´ó³áÉ«Ä¾éÊ,4,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pictum subsp. tricuspis,Èı¼âÉ«Ä¾·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer pubinerve,Ã«ÂöéÊ,4,4,10,10,NA,Aceraceae,WD
Acer robustum,è¾Ò¶éÊ,5,5,9,9,NA,Aceraceae,WD
Acer shenkanense,ÉÂ¸ÊéÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer sikkimense,Îı½ğéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. tetramerum,ËÄÈïéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer sterculiaceum,Æ»ÆÅéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer sterculiaceum subsp. franchetii,·¿ÏØéÊ,5,5,9,9,NA,Aceraceae,WD
Acer sutchuenense,ËÄ´¨éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,4,4,8,8,NA,Aceraceae,WD
Acer tsinglingense,ÇØÁë·ã,4,4,8,9,NA,Aceraceae,WD
Acer tutcheri,ÁëÄÏéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer wilsonii,ÈıÏ¿éÊ,4,4,9,9,NA,Aceraceae,WD
Acer yui,´¨¸ÊéÊ,NA,NA,9,9,NA,Aceraceae,WD
Achillea wilsoniana,ÔÆÄÏİé,7,9,7,9,Achillea,Asteraceae,CB
Achnatherum brandisii,Õ¹ĞòÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum chinense,ÖĞ»ªÜ¸Ü¸²İ,5,7,5,7,NA,Poaceae,CB
Achnatherum chingii,Ï¸Ò¶Ü¸Ü¸²İ,7,8,7,8,Achnatherum,Poaceae,CB
Achnatherum duthiei,²ØÜ¸Ü¸²İ,8,9,8,9,NA,Poaceae,CB
Achnatherum henryi,ºş±±Ü¸Ü¸²İ,4,6,4,6,NA,Poaceae,CB
Achnatherum inaequiglume,ÒìÓ±Ü¸Ü¸²İ,7,9,7,9,Achnatherum,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum psilantherum,¹âÒ©Ü¸Ü¸²İ,6,9,6,9,Achnatherum,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,9,6,9,NA,Poaceae,CB
Achyranthes aspera var. argentea,ÒøÃ«ÍÁÅ£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes aspera var. indica,¶ÛÒ¶ÍÁÅ£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyranthes bidentata var. japonica,ÉÙÃ«Å£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes bidentata var. villosa,ÃÜÃ«Å£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,9,11,9,11,NA,Amaranthaceae,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,11,11,12,12,Achyrospermum,Lamiaceae,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Achyrospermum,Lamiaceae,CB
Acomastylis elata,ÓğÒ¶»¨,6,8,6,8,Acomastylis,Rosaceae,CB
Acomastylis elata var. humilis,°«ÉúÓğÒ¶»¨,6,8,6,8,NA,Rosaceae,CB
Aconitum abietetorum,ÀäÉ¼ÁÖÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum birobidshanicum,´øÁìÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum brachypodum,¶Ì±úÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum brachypodum var. laxiflorum,Õ¹Ã«¶Ì±úÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum brevicalcaratum,¶Ì¾àÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum brevicalcaratum var. parviflorum,ÎŞ¾àÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum brunneum,ºÖ×ÏÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum bulbilliferum,ÖéÑ¿ÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum campylorrhynchum,Íäà¹ÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum cannabifolium,´óÂéÒ¶ÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum carmichaelii,ÎÚÍ·,9,10,NA,NA,NA,Ranunculaceae,CB
Aconitum chrysotrichum,»ÆÃ«ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum crassiflorum,´Ö»¨ÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum delavayi,×ÏÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum episcopale,Î÷ÄÏÎÚÍ·,7,11,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum falciforme,Á­ĞÎÎÚÍ·,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum flavum,·üÃ«Ìú°ô´¸,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum forrestii,Àö½­ÎÚÍ·,9,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum franchetii,´ó¶ÉÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum franchetii var. villosulum,Õ¹Ã«´ó¶ÉÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum geniculatum,Ï¥°êÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum geniculatum var. longicalcaratum,³¤¾àÏ¥°êÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum glabrisepalum,ÎŞÃ«ÎÚÍ·,9,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum gymnandrum,Â¶ÈïÎÚÍ·,6,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum hamatipetalum,¹³°êÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum hemsleyanum,¹ÏÒ¶ÎÚÍ·,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum hemsleyanum var. atropurpureum,Õ¹Ã«¹ÏÒ¶ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum henryi,´¨¶õÎÚÍ·,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum huiliense,»áÀíÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum incisofidum,È±¿ÌÎÚÍ·,8,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum kongboense,¹¤²¼ÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum kongboense var. villosum,Õ¹Ã«¹¤²¼ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum legendrei,ÃáÄşÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum legendrei var. albovillosum,µÍ¿øÃáÄşÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum liangshanicum,Á¹É½ÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum liljestrandii,¹±¸ÂÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
