scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abelia chinensis,Å´Ã×Ìõ,8,9,10,12,NA,Caprifoliaceae,WD
Abrus precatorius,ÏàË¼×Ó,3,6,9,10,NA,Fabaceae,WD
Abutilon guineense,¼¸ÄÚÑÇÄ¥ÅÌ²İ,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon indicum,Ä¥ÅÌ²İ,7,10,NA,NA,Abutilon,Malvaceae,CB
Acacia caesia,¼âÒ¶ÏàË¼,9,9,11,11,NA,Fabaceae,WD
Acalypha akoensis,ÆÁ¶«ÌúÜÈ²Ë,7,10,NA,NA,NA,Euphorbiaceae,WD
Acalypha angatensis,Ì¨ÍåÌúÜÈ²Ë,7,8,NA,NA,Acalypha,Euphorbiaceae,WD
Acalypha caturus,¼âÎ²ÌúÜÈ²Ë,1,12,NA,NA,Acalypha,Euphorbiaceae,WD
Acalypha matsudai,ºã´ºÌúÜÈ²Ë,6,7,NA,NA,Acalypha,Euphorbiaceae,WD
Acalypha suirenbiensis,»¨Á«ÌúÜÈ²Ë,7,8,NA,NA,Acalypha,Euphorbiaceae,WD
Acanthephippium striatum,×¶ÄÒÌ³»¨À¼,4,6,NA,NA,Acanthephippium,Orchidaceae,CB
Acanthephippium sylhetense,Ì³»¨À¼,4,7,NA,NA,Acanthephippium,Orchidaceae,CB
Acer albopurpurascens,×Ï°×·ã,4,4,9,9,NA,Aceraceae,WD
Acer buergerianum var. formosanum,Ì¨ÍåÈı½Ç·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer caudatifolium,¼âÎ²éÊ,3,3,8,8,NA,Aceraceae,WD
Acer duplicatoserratum,ÖØ³İ·ã,4,4,9,9,NA,Aceraceae,WD
Acer morrisonense,ÓñÉ½·ã,3,4,10,10,NA,Aceraceae,WD
Acer serrulatum,Ì¨ÍåÎåÁÑ·ã,3,4,6,10,NA,Aceraceae,WD
Acer tutcheri var. shimadai,Ğ¡¹ûÁëÄÏéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Achyranthes aspera var. indica,¶ÛÒ¶ÍÁÅ£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes aspera var. rubrofusca,ºÌÒ¶ÍÁÅ£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyranthes bidentata var. japonica,ÉÙÃ«Å£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes longifolia,ÁøÒ¶Å£Ï¥,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,11,11,12,12,Achyrospermum,Lamiaceae,CB
Aconitum formosanum,Ì¨ÍåÎÚÍ·,7,11,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum fukutomei,ÀæÉ½ÎÚÍ·,10,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum kojimae,ÈñÁÑÎÚÍ·,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum kojimae var. ramosum,·ÖÖ¦ÈñÁÑÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Acorus gramineus,½ğÇ®ÆÑ,2,7,7,8,NA,Araceae,CB
Acronychia pedunculata,É½ÓÍ¸Ì,4,8,8,12,Acronychia,Rutaceae,WD
Actinidia arguta,ÈíÔæâ¨ºïÌÒ,4,4,8,10,NA,Actinidiaceae,WD
Actinidia callosa,Ó²³İâ¨ºïÌÒ,4,6,9,10,NA,Actinidiaceae,WD
Actinidia chinensis var. setosa,´ÌÃ«â¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinidia latifolia,À«Ò¶â¨ºïÌÒ,3,6,11,11,Actinidia,Actinidiaceae,WD
Actinidia rubricaulis,ºì¾¥â¨ºïÌÒ,4,5,9,11,NA,Actinidiaceae,WD
Actinidia rufa,É½Àæâ¨ºïÌÒ,NA,NA,NA,NA,NA,Actinidiaceae,WD
Actinocarya tibetica,Ãª´Ì¹û,7,8,7,8,Actinocarya,Boraginaceae,CB
Actinodaphne acuminata,ÄÏÍ¶»ÆÈâéª,2,3,NA,NA,NA,Lauraceae,WD
Actinodaphne mushaensis,ÎíÉç»ÆÈâéª,9,9,NA,NA,NA,Lauraceae,WD
Adenophora morrisonensis,Ì¨ÍåÉ³²Î,7,11,9,11,NA,Campanulaceae,CB
Adenophora morrisonensis subsp. uehatae,¸ßÉ½É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora tetraphylla,ÂÖÒ¶É³²Î,3,11,5,11,NA,Campanulaceae,CB
Adenostemma lavenia,ÏÂÌï¾Õ,8,10,8,10,Adenostemma,Asteraceae,CB
Adinandra formosana,Ì¨ÍåÑîÍ©,3,11,5,11,NA,Theaceae,WD
Adinandra lasiostyla,Ã«ÖùÑîÍ©,5,5,10,10,NA,Theaceae,WD
Adinandra millettii,ÑîÍ©,5,7,8,10,Adinandra,Theaceae,WD
Aegiceras corniculatum,À¯Öò¹û,12,2,10,12,Aegiceras,Myrsinaceae,WD
Aeginetia indica,Ò°İÔ,4,8,8,10,Aeginetia,Orobanchaceae,CB
Aerva sanguinolenta,°×»¨ÜÈ,4,6,8,10,Aerva,Amaranthaceae,CB
Aeschynanthus acuminatus,Ã¢Ã«ÜÄÌ¦,3,10,5,12,Aeschynanthus,Gesneriaceae,WD
Aglaia elaeagnoidea,É½é¡,6,10,7,12,Aglaia,Meliaceae,WD
Aglaia rimosa,ÍÖÔ²Ò¶Ã××ĞÀ¼,NA,NA,NA,NA,NA,Meliaceae,WD
Agrimonia pilosa,ÁúÑ¿²İ,5,12,5,12,Agrimonia,Rosaceae,CB
Agrostis arisan-montana,°¢ÀïÉ½¼ô¹ÉÓ±,NA,NA,7,7,NA,Poaceae,CB
Agrostis clavata,»ª±±¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostis fukuyamae,ÖÛÓ±¼ô¹ÉÓ±,7,7,NA,NA,NA,Poaceae,CB
Agrostis infirma,ÓñÉ½¼ô¹ÉÓ±,NA,NA,11,11,NA,Poaceae,CB
Agrostis sozanensis,Ì¨Íå¼ô¹ÉÓ±,6,11,6,11,NA,Poaceae,CB
Agrostophyllum inocephalum,Ì¨ÍåºÌÒ¶À¼,2,3,NA,NA,Agrostophyllum,Orchidaceae,CB
Aidia canthioides,Ïãéª,4,6,5,2,NA,Rubiaceae,WD
Aidia cochinchinensis,ÜçÊ÷,4,4,5,2,Aidia,Rubiaceae,WD
Ainsliaea fragrans,ĞÓÏãÍÃ¶ù·ç,9,12,NA,NA,Ainsliaea,Asteraceae,CB
Ainsliaea henryi,³¤ËëÍÃ¶ù·ç,6,3,NA,NA,NA,Asteraceae,CB
Ainsliaea macroclinidiodes var. secundiflora,ÎåÁÑÍÃ¶ù·ç±äÖÖ,NA,NA,NA,NA,NA,Asteraceae,CB
