scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acantholimon alatavicum,´ÌÒ¶²Ê»¨,9,10,NA,NA,Acantholimon,Plumbaginaceae,WD
Acantholimon borodinii,Ï¸Ò¶²Ê»¨,6,7,7,8,Acantholimon,Plumbaginaceae,WD
Acantholimon diapensioides,Ğ¡Ò¶²Ê»¨,6,8,7,9,Acantholimon,Plumbaginaceae,WD
Acantholimon hedinii,²Ê»¨,6,8,7,9,Acantholimon,Plumbaginaceae,WD
Acantholimon kokandense,ºÆº±²Ê»¨,6,8,7,9,Acantholimon,Plumbaginaceae,WD
Acantholimon laevigatum,¹âİà²Ê»¨,NA,NA,NA,NA,NA,Plumbaginaceae,WD
Acantholimon lycopodioides,Ê¯ËÉ²Ê»¨,7,8,8,9,NA,Plumbaginaceae,WD
Acantholimon popovii,ÎÚÇ¡²Ê»¨,6,8,7,9,Acantholimon,Plumbaginaceae,WD
Acantholimon tianschanicum,ÌìÉ½²Ê»¨,6,6,7,10,Acantholimon,Plumbaginaceae,WD
Acanthophyllum pungens,´ÌÒ¶,7,7,NA,NA,Acanthophyllum,Caryophyllaceae,CB
Acer semenovii,ÌìÉ½éÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Achillea asiatica,ÑÇÖŞİé,7,8,7,8,Achillea,Asteraceae,CB
Achillea impatiens,ºÖ°úİé,7,9,7,9,Achillea,Asteraceae,CB
Achillea ledebouri,°¢¶ûÌ©İé,7,9,7,9,Achillea,Asteraceae,CB
Achillea ptarmicoides,¶Ì°êİé,7,9,7,9,Achillea,Asteraceae,CB
Achillea salicifolia,ÁøÒ¶İé,8,9,8,9,Achillea,Asteraceae,CB
Achillea setacea,Ë¿Ò¶İé,7,8,7,8,NA,Asteraceae,CB
Achnatherum caragana,Ğ¡Ü¸Ü¸²İ,6,8,6,8,NA,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,6,9,6,9,NA,Poaceae,CB
Achnatherum saposhnikovii,¶Û»ù²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,6,9,6,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,6,8,6,8,NA,Poaceae,CB
Aconitum anthoroideum,Äâ»Æ»¨ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum apetalum,¿Õ¾¥ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum,Ï¸Ò¶»ÆÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum barbatum var. hispidum,Î÷²®ÀûÑÇÎÚÍ·,7,8,NA,NA,NA,Ranunculaceae,CB
Aconitum barbatum var. puberulum,Å£±â,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum jeholense var. angustius,»ª±±ÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum karakolicum,¶à¸ùÎÚÍ·,7,8,8,9,Aconitum,Ranunculaceae,CB
Aconitum karakolicum var. patentipilum,Õ¹Ã«¶à¸ùÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum leucostomum,°×ºíÎÚÍ·,7,8,8,9,Aconitum,Ranunculaceae,CB
Aconitum monticola,É½µØÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum nemorum,ÁÖµØÎÚÍ·,7,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum rotundifolium,Ô²Ò¶ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum sinchiangense,ĞÂ½®ÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum smirnovii,°¢¶ûÌ©ÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum soongaricum,×¼¸Á¶ûÎÚÍ·,8,9,8,9,NA,Ranunculaceae,CB
Aconitum talassicum var. villosulum,ÒÁÀçÎÚÍ·,7,7,8,8,NA,Ranunculaceae,CB
Acorus calamus,İÅÆÑ,6,8,8,9,Acorus,Araceae,CB
Acroptilon repens,ÏîÓğ¾Õ,NA,NA,NA,NA,NA,Asteraceae,CB
Actinocarya tibetica,Ãª´Ì¹û,7,8,7,8,Actinocarya,Boraginaceae,CB
Adenocaulon himalaicum,ºÍÉĞ²Ë,6,11,6,11,Adenocaulon,Asteraceae,CB
Adenophora himalayana,Ï²ÂíÀ­ÑÅÉ³²Î,7,9,NA,NA,Adenophora,Campanulaceae,CB
Adenophora himalayana subsp. alpina,¸ßÉ½É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora lamarkii,ÌìÉ½É³²Î,NA,NA,NA,NA,NA,Campanulaceae,CB
Adenophora liliifolia,ĞÂ½®É³²Î,6,7,7,9,Adenophora,Campanulaceae,CB
Adenosma glutinosum,Ã«÷êÏã,7,10,7,10,Adenosma,Scrophulariaceae,CB
Adonis aestivalis,ÏÄ²à½ğÕµ»¨,5,5,NA,NA,NA,Ranunculaceae,CB
Adonis aestivalis var. parviflora,Ğ¡²à½ğÕµ»¨,NA,NA,NA,NA,NA,Ranunculaceae,CB
Adonis chrysocyathus,½ğ»Æ²à½ğÕµ»¨,5,6,8,8,NA,Ranunculaceae,CB
Adonis sibirica,±±²à½ğÕµ»¨,6,6,NA,NA,NA,Ranunculaceae,CB
Adonis tianschanica,ÌìÉ½²à½ğÕµ»¨,5,6,5,6,Adonis,Ranunculaceae,CB
Adoxa moschatellina,Îå¸£»¨,4,7,7,8,Adoxa,Adoxaceae,CB
Aegilops tauschii,É½Ñò²İ,6,6,7,7,NA,Poaceae,CB
Aegopodium alpestre,¶«±±Ñò½ÇÇÛ,7,7,7,8,NA,Apiaceae,CB
Aegopodium latifolium,¿íÒ¶Ñò½ÇÇÛ,5,5,NA,NA,NA,Apiaceae,CB
Aegopodium tadshikorum,ËşÊ²¿ËÑò½ÇÇÛ,6,7,7,8,NA,Apiaceae,CB
Aeluropus micrantherus,Î¢Ò©â¯Ã«,6,8,6,8,NA,Poaceae,CB
Aeluropus pilosus,Ã«Ò¶â¯Ã«,6,8,6,8,NA,Poaceae,CB
Aeluropus pungens,Ğ¡â¯Ã«,6,8,6,8,NA,Poaceae,CB
Aeluropus pungens var. hirtulus,´ÌÒ¶â¯Ã«,6,8,6,8,NA,Poaceae,CB
Aeluropus sinensis,â¯Ã«,6,8,6,8,NA,Poaceae,CB
Agrimonia eupatoria subsp. asiatica,´ó»¨ÁúÑ¿²İ,6,6,7,7,NA,Rosaceae,CB
Agrimonia pilosa,ÁúÑ¿²İ,6,7,NA,NA,Agrimonia,Rosaceae,CB
Agrimonia pilosa var. nepalensis,»ÆÁúÎ²,NA,NA,NA,NA,NA,Rosaceae,CB
Agriophyllum lateriflorum,²à»¨É³Åî,7,9,7,9,Agriophyllum,Chenopodiaceae,CB
Agriophyllum minus,Ğ¡É³Åî,5,8,5,8,Agriophyllum,Chenopodiaceae,CB
Agriophyllum squarrosum,É³Åî,8,10,8,10,Agriophyllum,Chenopodiaceae,CB
Agropyron cristatum var. pectinatum,¹âËë±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agropyron desertorum,É³Éú±ù²İ,6,8,6,8,NA,Poaceae,CB
Agropyron desertorum var. pilosiusculum,Ã«É³Éú±ù²İ,NA,NA,NA,NA,NA,Poaceae,CB
Agropyron mongolicum,É³Â«²İ,6,8,6,8,NA,Poaceae,CB
