scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abarema clypearia,Î§ÏÑÊ÷,NA,NA,NA,NA,NA,Fabaceae,WD
Abelia buddleioides,×íÓã²İ×´ÁùµÀÄ¾,6,7,8,9,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abelia umbellata,É¡»¨ÁùµÀÄ¾,5,6,8,9,Abelia,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,8,10,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot var. pungens,¸ÕÃ«»ÆÊñ¿û,NA,NA,NA,NA,NA,Malvaceae,CB
Acacia megaladena,¶ÛÒ¶½ğºÏ»¶,5,6,9,10,Acacia,Fabaceae,WD
Acanthochlamys bracteata,Ã¢°ú²İ,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acer acuminatum,³İÁÑéÊ,3,4,9,9,Acer,Aceraceae,WD
Acer amplum,À«Ò¶éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer caesium,Éî»ÒéÊ,5,6,9,9,Acer,Aceraceae,WD
Acer campbellii,²ØÄÏéÊ,5,5,8,10,Acer,Aceraceae,WD
Acer campbellii var. serratifolium,Ã«³İ²ØÄÏ·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer cappadocicum,ÇàÆ¤éÊ,4,4,8,8,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,Ğ¡Ò¶ÇàÆ¤·ã,NA,NA,NA,NA,NA,Aceraceae,WD
Acer caudatum,³¤Î²éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,4,9,9,Acer,Aceraceae,WD
Acer flabellatum,ÉÈÒ¶éÊ,6,6,10,10,NA,Aceraceae,WD
Acer forrestii,Àö½­éÊ,5,5,9,9,NA,Aceraceae,WD
Acer fulvescens,»ÆÃ«éÊ,4,4,8,8,NA,Aceraceae,WD
Acer kungshanense,¹±É½éÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer laevigatum,¹âÒ¶éÊ,4,4,8,9,NA,Aceraceae,WD
Acer laurinum,Ê®ÈïéÊ,6,9,9,12,NA,Aceraceae,WD
Acer laxiflorum,Êè»¨éÊ,4,4,9,9,NA,Aceraceae,WD
Acer longipes,³¤±úéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer oblongum,·É¶êéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer oligocarpum,ÉÙ¹ûéÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,NA,Aceraceae,WD
Acer pectinatum,ó÷³İéÊ,4.2,4.2,9,9,Acer,Aceraceae,WD
Acer pectinatum subsp. taronense,¶ÀÁúéÊ,4,5,8,9,NA,Aceraceae,WD
Acer pictum subsp. macropterum,´ó³áÉ«Ä¾éÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,4,5,9,9,NA,Aceraceae,WD
Acer pinnatinervium,éªÒ¶·ã,8,10,12,2,NA,Aceraceae,WD
Acer pubipetiolatum,Ã«±úéÊ,3,4,7,9,NA,Aceraceae,WD
Acer sikkimense,Îı½ğéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,NA,Aceraceae,WD
Acer stachyophyllum,Ã«Ò¶éÊ,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. tetramerum,ËÄÈïéÊ,NA,NA,NA,NA,NA,Aceraceae,WD
Acer sterculiaceum,Æ»ÆÅéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer thomsonii,¾Ş¹ûéÊ,4,4,9,9,NA,Aceraceae,WD
Acer tibetense,²ìÓçéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer tonkinense,´Ö±úéÊ,4,5,9,9,Acer,Aceraceae,WD
Acer wardii,µá²ØéÊ,5,5,9,9,NA,Aceraceae,WD
Achnatherum brandisii,Õ¹ĞòÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum breviaristatum,¶Ì¾¥Ü¸Ü¸²İ,6,6,NA,NA,Achnatherum,Poaceae,CB
Achnatherum chingii,Ï¸Ò¶Ü¸Ü¸²İ,7,8,7,8,Achnatherum,Poaceae,CB
Achnatherum duthiei,²ØÜ¸Ü¸²İ,8,9,8,9,NA,Poaceae,CB
Achnatherum inebrians,×íÂí²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum jacquemontii,¸ÉÉúÜ¸Ü¸²İ,7,9,7,9,NA,Poaceae,CB
Achnatherum pekinense,¾©Ã¢²İ,7,10,7,10,NA,Poaceae,CB
Achnatherum sibiricum,ÓğÃ©,7,9,7,9,NA,Poaceae,CB
Achnatherum splendens,Ü¸Ü¸²İ,8,9,8,9,NA,Poaceae,CB
Achyranthes bidentata,Å£Ï¥,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyrospermum densiflorum,ÁÛ¹û²İ,11,11,12,12,Achyrospermum,Lamiaceae,CB
Achyrospermum wallichianum,Î÷²ØÁÛ¹û²İ,8,9,NA,NA,Achyrospermum,Lamiaceae,CB
Acomastylis elata,ÓğÒ¶»¨,6,8,6,8,Acomastylis,Rosaceae,CB
Acomastylis elata var. humilis,°«ÉúÓğÒ¶»¨,6,8,6,8,NA,Rosaceae,CB
Acomastylis macrosepala,´óİàÓğÒ¶»¨,8,9,8,9,Acomastylis,Rosaceae,CB
Aconitum abietetorum,ÀäÉ¼ÁÖÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum alpinonepalense,¸ß·åÎÚÍ·,9,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum basitruncatum,½Ø»ùÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum bracteolatum,¿í°úÎÚÍ·,8,9,NA,NA,NA,Ranunculaceae,CB
Aconitum brevilimbum,¶Ì´½ÎÚÍ·,7,7,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum changianum,²ìÍßÁúÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum chasmanthum,Õ¹»¨ÎÚÍ·,9,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum chayuense,²ìÓçÎÚÍ·,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum chiachaense,¼Ó²éÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum chiachaense var. glandulosum,ÏÙÃ«¼Ó²éÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum creagromorphum,²æ°úÎÚÍ·,10,10,NA,NA,NA,Ranunculaceae,CB
Aconitum dolichostachyum,³¤ĞòÎÚÍ·,8,8,NA,NA,NA,Ranunculaceae,CB
Aconitum elliotii,Ä«ÍÑÎÚÍ·,8,8,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum elliotii var. doshongense,¶Ì¹£Ä«ÍÑÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum elliotii var. glabrescens,¹â¹£Ä«ÍÑÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum elliotii var. pilopetalum,Ã«°êÄ«ÍÑÎÚÍ·,NA,NA,NA,NA,NA,Ranunculaceae,CB
