scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abarema clypearia,围涎树,2,6,4,8,NA,Fabaceae,WD
Abarema cordifolia,心叶大合欢,5,5,11,11,NA,Fabaceae,WD
Abarema elliptica,滇西围涎树,NA,NA,NA,NA,NA,Fabaceae,WD
Abarema lucida,亮叶猴耳环,4,6,7,12,NA,Fabaceae,WD
Abarema utile,薄叶围涎树,3,8,4,12,NA,Fabaceae,WD
Abelia biflora,六道木,3,4,8,9,NA,Caprifoliaceae,WD
Abelia buddleioides,醉鱼草状六道木,5,5,6,8,NA,Caprifoliaceae,WD
Abelia chinensis,糯米条,8,9,10,11,NA,Caprifoliaceae,WD
Abelia dielsii,南方六道木,5,6,7,10,Abelia,Caprifoliaceae,WD
Abelia forrestii,细瘦六道木,7,8,9,10,Abelia,Caprifoliaceae,WD
Abelia umbellata,伞花六道木,5,5,6,8,Abelia,Caprifoliaceae,WD
Abelia uniflora,二翅六道木,4,6,8,10,NA,Caprifoliaceae,WD
Abelmoschus crinitus,长毛黄葵,5,9,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot,黄蜀葵,8,10,NA,NA,NA,Malvaceae,CB
Abelmoschus manihot var. pungens,刚毛黄蜀葵,NA,NA,NA,NA,NA,Malvaceae,CB
Abelmoschus sagittifolius,箭叶秋葵,5,9,NA,NA,Abelmoschus,Malvaceae,CB
Abrus precatorius,相思子,3,6,9,10,NA,Fabaceae,WD
Abrus pulchellus,美丽相思子,8,8,NA,NA,Abrus,Fabaceae,WD
Abutilon gebauerianum,滇西苘麻,1,2,8,10,Abutilon,Malvaceae,WD
Abutilon guineense var. forrestii,小花磨盘草,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon hirtum,恶味苘麻,4,6,NA,NA,Abutilon,Malvaceae,CB
Abutilon hirtum var. yuanmouense,元谋恶味苘麻,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon indicum,磨盘草,7,10,NA,NA,Abutilon,Malvaceae,CB
Abutilon paniculatum,圆锥苘麻,6,8,NA,NA,Abutilon,Malvaceae,WD
Abutilon roseum,红花苘麻,NA,NA,NA,NA,NA,Malvaceae,CB
Abutilon sinense,华苘麻,1,5,NA,NA,Abutilon,Malvaceae,WD
Abutilon sinense var. edentatum,无齿华苘麻,NA,NA,NA,NA,NA,Malvaceae,WD
Acacia caesia,尖叶相思,9,9,11,11,NA,Fabaceae,WD
Acacia caesia var. subnuda,尖叶相思,NA,NA,NA,NA,NA,Fabaceae,WD
Acacia delavayi,光叶金合欢,5,7,8,10,NA,Fabaceae,WD
Acacia delavayi var. kunmingensis,昆明金合欢,NA,NA,NA,NA,NA,Fabaceae,WD
Acacia megaladena,钝叶金合欢,6,8,10,12,Acacia,Fabaceae,WD
Acacia megaladena var. garrettii,盘腺金合欢,NA,NA,NA,NA,NA,Fabaceae,WD
Acacia pennata,羽叶金合欢,7,10,11,2,NA,Fabaceae,WD
Acacia pruinescens,粉被金合欢,6,8,11,12,NA,Fabaceae,WD
Acacia pruinescens var. luchunensis,粉被金合欢,NA,NA,NA,NA,NA,Fabaceae,WD
Acacia sinuata,藤金合欢,NA,NA,NA,NA,NA,Fabaceae,WD
Acacia teniana,无刺金合欢,5,6,1,1,NA,Fabaceae,WD
Acacia tonkinensis,双腺金合欢,7,9,NA,NA,NA,Fabaceae,WD
Acacia yunnanensis,云南相思树,5,7,9,11,Acacia,Fabaceae,WD
Acalypha acmophylla,尾叶铁苋菜,4,8,NA,NA,NA,Euphorbiaceae,WD
Acalypha kerrii,卵叶铁苋菜,3,8,NA,NA,Acalypha,Euphorbiaceae,WD
Acalypha mairei,毛叶铁苋菜,3,8,7,8,Acalypha,Euphorbiaceae,WD
Acalypha schneideriana,丽江铁苋菜,5,8,NA,NA,NA,Euphorbiaceae,WD
Acalypha supera,裂苞铁苋菜,5,12,5,12,NA,Euphorbiaceae,CB
Acampe ochracea,窄果脆兰,12,12,6,6,Acampe,Orchidaceae,CB
Acampe rigida,多花脆兰,8,9,4,5,Acampe,Orchidaceae,CB
Acanthephippium striatum,锥囊坛花兰,4,6,NA,NA,Acanthephippium,Orchidaceae,CB
Acanthephippium sylhetense,坛花兰,4,7,NA,NA,Acanthephippium,Orchidaceae,CB
Acanthochlamys bracteata,芒苞草,6,6,8,8,Acanthochlamys,Amaryllidaceae,CB
Acanthospermum australe,刺苞果,8,3,8,3,Acanthospermum,Asteraceae,CB
Acanthus ebracteatus,小花老鼠簕,4,5,8,9,NA,Acanthaceae,WD
Acanthus leucostachyus,刺苞老鼠簕,2,5,8,9,NA,Acanthaceae,CB
Acer amplum,阔叶槭,4,4,9,9,Acer,Aceraceae,WD
Acer amplum subsp. bodinieri,建水阔叶枫,3,4,10,10,NA,Aceraceae,WD
Acer amplum subsp. tientaiense,天台阔叶枫,4,4,9,9,NA,Aceraceae,WD
Acer buergerianum,三角槭,4,4,8,8,NA,Aceraceae,WD
Acer caesium,深灰槭,5,5,7,9,Acer,Aceraceae,WD
Acer campbellii,藏南槭,6,6,10,10,Acer,Aceraceae,WD
Acer campbellii var. serratifolium,毛齿藏南枫,NA,NA,NA,NA,NA,Aceraceae,WD
Acer cappadocicum,青皮槭,4,4,8,8,Acer,Aceraceae,WD
Acer cappadocicum var. sinicum,小叶青皮枫,5,8,9,10,NA,Aceraceae,WD
Acer caudatum,长尾槭,5,5,9,9,Acer,Aceraceae,WD
Acer chienii,怒江槭,4,4,8,10,NA,Aceraceae,WD
Acer chunii subsp. dimorphophyllum,两型叶乳源枫,NA,NA,NA,NA,NA,Aceraceae,WD
Acer cordatum,紫果槭,4,4,9,9,Acer,Aceraceae,WD
Acer crassum,厚叶槭,4,4,9,9,Acer,Aceraceae,WD
Acer davidii,青榨槭,4,5,9,9,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,葛萝槭,4,4,9,9,NA,Aceraceae,WD
Acer erianthum,毛花槭,5,5,9,9,Acer,Aceraceae,WD
Acer fabri,罗浮槭,3,4,9,9,Acer,Aceraceae,WD
Acer fenzelianum,河口槭,NA,NA,9,9,NA,Aceraceae,WD
Acer flabellatum,扇叶槭,6,6,10,10,NA,Aceraceae,WD
Acer forrestii,丽江槭,5,5,9,9,NA,Aceraceae,WD
Acer fulvescens,黄毛槭,4,4,8,8,NA,Aceraceae,WD
Acer henryi,建始槭,4,4,9,9,Acer,Aceraceae,WD
Acer hilaense,海拉槭,NA,NA,9,9,NA,Aceraceae,WD
Acer kungshanense,贡山槭,NA,NA,9,9,NA,Aceraceae,WD
Acer kwangnanense,广南槭,3,3,9,9,NA,Aceraceae,WD
Acer laevigatum,光叶槭,4,4,8,9,NA,Aceraceae,WD
Acer laevigatum var. salweenense,怒江光叶枫,NA,NA,NA,NA,NA,Aceraceae,WD
Acer laurinum,十蕊槭,6,9,9,12,NA,Aceraceae,WD
Acer laxiflorum,疏花槭,5,6,7,9,NA,Aceraceae,WD
Acer longipes,长柄槭,5,5,9,9,Acer,Aceraceae,WD
Acer lucidum,亮叶槭,3,4,8,9,Acer,Aceraceae,WD
Acer lungshengense,龙胜槭,NA,NA,9,9,NA,Aceraceae,WD
Acer maximowiczii,五尖槭,5,5,9,9,NA,Aceraceae,WD
Acer metcalfii,南岭槭,NA,NA,9,9,NA,Aceraceae,WD
Acer oblongum,飞蛾槭,4,4,9,9,Acer,Aceraceae,WD
Acer oligocarpum,少果槭,NA,NA,9,11,NA,Aceraceae,WD
Acer oliverianum,五裂槭,5,5,9,9,NA,Aceraceae,WD
Acer paihengii,富宁槭,4,4,8,8,NA,Aceraceae,WD
Acer paxii,金沙槭,3,3,8,8,Acer,Aceraceae,WD
Acer pectinatum,篦齿槭,5,6,7,9,Acer,Aceraceae,WD
Acer pectinatum subsp. taronense,独龙槭,4,5,8,9,NA,Aceraceae,WD
Acer pictum subsp. macropterum,大翅色木槭,NA,NA,NA,NA,NA,Aceraceae,WD
Acer pictum subsp. mono,五角枫,4,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. tricuspis,三尖色木枫,NA,NA,NA,NA,NA,Aceraceae,WD
Acer pinnatinervium,楠叶枫,8,10,12,2,NA,Aceraceae,WD
Acer poliophyllum,灰叶槭,NA,NA,9,9,NA,Aceraceae,WD
Acer pubipetiolatum,毛柄槭,3,4,7,9,NA,Aceraceae,WD
Acer pubipetiolatum var. pingpienense,屏边毛柄槭,4,4,9,9,NA,Aceraceae,WD
Acer robustum,杈叶槭,5,5,9,9,NA,Aceraceae,WD
Acer shenkanense,陕甘槭,4,5,7,9,NA,Aceraceae,WD
Acer sikkimense,锡金槭,4,4,9,9,Acer,Aceraceae,WD
Acer sinense,中华槭,5,5,9,9,NA,Aceraceae,WD
Acer stachyophyllum,毛叶槭,4,5,9,10,Acer,Aceraceae,WD
Acer stachyophyllum subsp. tetramerum,四蕊槭,NA,NA,NA,NA,NA,Aceraceae,WD
Acer sterculiaceum,苹婆槭,4,5,9,9,Acer,Aceraceae,WD
Acer sterculiaceum subsp. franchetii,房县槭,NA,NA,NA,NA,NA,Aceraceae,WD
Acer thomsonii,巨果槭,4,4,9,9,NA,Aceraceae,WD
Acer tonkinense,粗柄槭,4,5,9,9,Acer,Aceraceae,WD
Acer wangchii,天峨槭,NA,NA,9,9,NA,Aceraceae,WD
Acer wardii,滇藏槭,5,5,9,9,NA,Aceraceae,WD
Acer wilsonii,三峡槭,4,4,9,9,NA,Aceraceae,WD
Acer yangbiense,漾濞城,4,4,9,9,NA,Aceraceae,WD
Achillea wilsoniana,云南蓍,7,9,7,9,Achillea,Asteraceae,CB
Achnatherum brandisii,展序芨芨草,7,9,7,9,NA,Poaceae,CB
Achnatherum chingii,细叶芨芨草,7,8,7,8,Achnatherum,Poaceae,CB
Achnatherum duthiei,藏芨芨草,7,9,7,9,NA,Poaceae,CB
Achnatherum henryi var. acutum,尖颖芨芨草,NA,NA,NA,NA,NA,Poaceae,CB
Achnatherum pekinense,京芒草,7,10,7,10,NA,Poaceae,CB
Achnatherum sibiricum,羽茅,7,9,7,9,NA,Poaceae,CB
Achyranthes aspera var. indica,钝叶土牛膝,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes aspera var. rubrofusca,禾叶土牛膝,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes bidentata,牛膝,7,9,9,10,Achyranthes,Amaranthaceae,CB
Achyranthes bidentata var. japonica,少毛牛膝,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyranthes longifolia,柳叶牛膝,NA,NA,NA,NA,NA,Amaranthaceae,CB
Achyrospermum densiflorum,鳞果草,11,11,12,12,Achyrospermum,Lamiaceae,CB
Achyrospermum wallichianum,西藏鳞果草,8,9,NA,NA,Achyrospermum,Lamiaceae,CB
Acidosasa purpurea,毛花酸竹,5,9,NA,NA,Acidosasa,Poaceae,WD
Acomastylis elata,羽叶花,6,8,6,8,Acomastylis,Rosaceae,CB
Acomastylis elata var. humilis,矮生羽叶花,6,8,6,8,NA,Rosaceae,CB
Aconitum abietetorum,冷杉林乌头,9,9,NA,NA,NA,Ranunculaceae,CB
Aconitum brachypodum,短柄乌头,9,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum brachypodum var. laxiflorum,展毛短柄乌头,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum brevicalcaratum,短距乌头,8,10,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum brevicalcaratum var. parviflorum,无距乌头,NA,NA,NA,NA,NA,Ranunculaceae,CB
Aconitum bulleyanum,滇西乌头,7,9,NA,NA,Aconitum,Ranunculaceae,CB
Aconitum campylorrhynchum,弯喙乌头,8,10,NA,NA,Aconitum,Ranunculaceae,CB
