scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Abarema lucida,ÁÁÒ¶ºï¶ú»·,4,6,7,12,NA,Fabaceae,WD
Abarema utile,±¡Ò¶Î§ÏÑÊ÷,NA,NA,NA,NA,NA,Fabaceae,WD
Abelia chinensis,Å´Ã×Ìõ,6,8,10,11,NA,Caprifoliaceae,WD
Abelia dielsii,ÄÏ·½ÁùµÀÄ¾,4,6,8,9,Abelia,Caprifoliaceae,WD
Abelia serrata,»Æ»¨ÁùµÀÄ¾,5,5,9,9,NA,Caprifoliaceae,WD
Abelia spathulata,ÎÂÖİÁùµÀÄ¾,5,5,6,10,NA,Caprifoliaceae,WD
Abelmoschus manihot,»ÆÊñ¿û,8,10,10,11,NA,Malvaceae,CB
Abutilon theophrasti,ÜÜÂé,7,8,NA,NA,NA,Malvaceae,CB
Acacia pennata,ÓğÒ¶½ğºÏ»¶,3,10,7,4,NA,Fabaceae,WD
Acacia sinuata,ÌÙ½ğºÏ»¶,4,6,7,12,NA,Fabaceae,WD
Acalypha australis,ÌúÜÈ²Ë,7,9,8,10,Acalypha,Euphorbiaceae,CB
Acalypha supera,ÁÑ°úÌúÜÈ²Ë,5,12,NA,NA,NA,Euphorbiaceae,CB
Acanthopanax sieboldianus,ÒìÖêÎå¼Ó,NA,NA,NA,NA,NA,Araliaceae,WD
Acer acutum,Èñ½Ç·ã,4,4,10,10,NA,Aceraceae,WD
Acer amplum,À«Ò¶éÊ,4,4,9,11,Acer,Aceraceae,WD
Acer amplum subsp. tientaiense,ÌìÌ¨À«Ò¶·ã,4,4,9,9,NA,Aceraceae,WD
Acer buergerianum,Èı½ÇéÊ,4,4,10,10,NA,Aceraceae,WD
Acer buergerianum var. horizontale,Æ½³áÈı½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer buergerianum var. yentangense,Ñãµ´Èı½Ç·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer cordatum,×Ï¹ûéÊ,4,4,10,11,Acer,Aceraceae,WD
Acer cordatum var. dimorphifolium,Á½ĞÍÒ¶×Ï¹û·ã,NA,NA,9,9,NA,Aceraceae,WD
Acer davidii,ÇàÕ¥éÊ,4,4,10,10,Acer,Aceraceae,WD
Acer davidii subsp. grosseri,¸ğÂÜéÊ,4,4,9,9,NA,Aceraceae,WD
Acer duplicatoserratum var. chinense,ÖĞ»ªÖØ³İ·ã,5,5,9,9,NA,Aceraceae,WD
Acer elegantulum,ĞãÀöéÊ,4,5,10,10,Acer,Aceraceae,WD
Acer fabri,ÂŞ¸¡éÊ,3,4,9,9,Acer,Aceraceae,WD
Acer ginnala subsp. theiferum,¿àÌõéÊ,5,5,9,10,NA,Aceraceae,WD
Acer henryi,½¨Ê¼éÊ,4,4,10,10,Acer,Aceraceae,WD
Acer linganense,ÁÙ°²éÊ,4,5,10,10,Acer,Aceraceae,WD
Acer maximowiczianum,Ã«¹ûéÊ,4,4,9,9,NA,Aceraceae,WD
Acer miaotaiense,ÃíÌ¨éÊ,NA,NA,9,9,NA,Aceraceae,WD
Acer oblongum,·É¶êéÊ,4,4,9,9,Acer,Aceraceae,WD
Acer oliverianum,ÎåÁÑéÊ,5,5,9,9,NA,Aceraceae,WD
Acer palmatum,¼¦×¦éÊ,5,5,9,9,NA,Aceraceae,WD
Acer pauciflorum,Ï¡»¨éÊ,5,5,9,9,Acer,Aceraceae,WD
Acer pictum subsp. mono,Îå½Ç·ã,8,5,9,9,NA,Aceraceae,WD
Acer pictum subsp. pubigerum,½­ÄÏÉ«Ä¾·ã,4,4,9,9,NA,Aceraceae,WD
Acer pubinerve,Ã«ÂöéÊ,4,4,10,10,NA,Aceraceae,WD
Acer robustum,è¾Ò¶éÊ,5,5,9,9,NA,Aceraceae,WD
Acer sinense,ÖĞ»ªéÊ,5,5,9,9,NA,Aceraceae,WD
Acer sinopurpurascens,ÌìÄ¿éÊ,4,4,10,10,Acer,Aceraceae,WD
Acer tataricum subsp. ginnala,²èÌõ·ã,5,6,9,9,NA,Aceraceae,WD
Acer truncatum,Ôª±¦éÊ,5,5,9,9,NA,Aceraceae,WD
